[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3818577808.88678,12/31/2020,12:04 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,MLKS253,SAMPLE_MATERIAL
INFO,crystals in mother solution, glass tube,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.96,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3818578866.23033,1.79959815740585,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.3138517178449E-5,6.05451173752979E-8,-0.0137487812594534,0.00202499961327488,7.71286361625853E-6,2.01817700479517E-8,7.71286339419932E-6,1.27814487771515E-8,-1.85079031348272E-9,1.56185277611385E-8,2.99999044838204,1.00057637691498,31.9815665633281,32,1,3,0.0767370066406202,0.00106344395280563,0.0261876080185175,178.128753662109,1.79880940914154,1.8024605512619,0.0630254074931145,0.0630254074931145,,,2.48525762557983,0,1,,,,,,1,1,1,1.79981803894043,0,0,1.8000067524973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579053.62385,1.79998004436493,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30929849323604E-5,1.27544317425336E-7,-0.0999336808818109,0.00483489624032374,7.69768428167657E-6,4.25148975040631E-8,7.69767257298159E-6,2.05530985701217E-8,-1.34260767728506E-8,3.72167522622253E-8,2.99999117751953,1.32110726833344,24.2221057797734,31,1,3,0.0765834891445979,0.00120782624944055,0.0261373743414879,177.572021484375,1.79861414432526,1.80174887180328,0.0630254074931145,0.0630254074931145,,,2.48002314567566,0,1,,,,,,1,1,1,1.79999232292175,0,0,1.79999557250663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579203.87431,1.79996699094772,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30969952263952E-5,8.5548419787685E-8,-0.0773667489816137,0.00249698419647532,7.69901731560088E-6,2.85162099576913E-8,7.69901029670718E-6,2.10617102368216E-8,-1.03960145775748E-8,1.92244269680866E-8,2.99999263277311,1.73988473415375,18.3920229724668,31,1,3,0.0765894150127244,0.00157881529721576,0.026087524369359,176.910675048828,1.79918158054352,1.80265581607819,0.0630254074931145,0.0630254074931145,,,2.47724056243896,0,1,,,,,,1,1,1,1.80001950263977,0,0,1.80000242453355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579326.72949,1.80010694265366,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30117363037849E-5,5.47540845063116E-8,-0.0349974510145146,0.00151706795760615,7.67055376621983E-6,1.82513020130831E-8,7.67055233527044E-6,1.40603833974336E-8,-4.68533311311333E-9,1.16368227575204E-8,3.00000977831949,2.30147647857666,13.9041177686901,32,1,3,0.0762933723848463,0.00208139663403025,0.0260425414890051,175.989334106445,1.79887223243713,1.80222249031067,0.0630254074931145,0.0630254074931145,,,2.47543048858643,0,1,,,,,,1,1,1,1.79999566078186,0,0,1.79999286709008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579434.51116,1.8002063035965,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30563768073734E-5,4.49730373474528E-8,0.032879863114545,0.00143230187382994,7.68546454193496E-6,1.49910233843173E-8,7.68546327645622E-6,1.01762849780684E-8,4.41039480374333E-9,1.10079065291402E-8,2.99999781165714,3.0215425491333,12,36,1,3,0.076418377205817,0.00274986808145793,0.0259921103715897,174.846389770508,1.79865944385529,1.80203425884247,0.0630254074931145,0.0630254074931145,,,2.47327780723572,0,1,,,,,,1,1,1,1.80005538463593,0,0,1.80001549287276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579528.53806,1.79986751079559,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.29804097096735E-5,5.06551382040765E-8,0.134898066367738,0.00147546346237451,7.66013562798053E-6,1.68850439917956E-8,7.66011439688291E-6,1.25448648337717E-8,1.80351247235422E-8,1.13018174161181E-8,3.00000036888798,3.9944474697113,12,47,1,3,0.0761257157983199,0.00363369584547133,0.0259017571806908,173.247131347656,1.79874169826508,1.80096447467804,0.0630254074931145,0.0630254074931145,,,2.47276401519775,0,1,,,,,,1,1,1,1.79974472522736,0,0,1.79998086425993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579618.14746,1.80060219764709,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30175926719917E-5,7.01475402489838E-8,0.0732637412488986,0.000989843272410319,7.67253587463084E-6,2.33825286052761E-8,7.67252960211462E-6,2.21168114551627E-8,9.81081913251255E-9,7.58876110003055E-9,2.99999805124393,5.2525954246521,12,63,1,3,0.0761968489332074,0.004504967739696,0.025763375684619,171.185333251953,1.79823637008667,1.80172157287598,0.0630254074931145,0.0630254074931145,,,2.47238063812256,0,1,,,,,,1,1,1,1.80041980743408,0,0,1.79999508802918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579705.2369,1.79960834980011,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30552728001485E-5,6.83743745225769E-8,0.16498216198747,0.00243757774262301,7.68501550543192E-6,2.27912344796383E-8,7.68498364562288E-6,1.29794227629743E-8,2.21288327284796E-8,1.87343255508662E-8,3.00002944481408,6.92008590698242,12,83,1,3,0.0762234985944642,0.00582004000404589,0.0254442021250725,168.472579956055,1.79827487468719,1.80192828178406,0.0630254074931145,0.0630254074931145,,,2.47126698493958,0,1,,,,,,1,1,1,1.79961097240448,0,0,1.79998944203059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579791.17709,1.80026388168335,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.31074762755604E-5,1.4854894386158E-8,0.19472377266688,0.000445910025603938,7.69328664155261E-6,4.94571363743324E-9,7.69324221177025E-6,3.56321655930181E-9,2.61461302723479E-8,3.42980628243207E-9,3.00358966878388,9.10972499847412,12,109,1,3,0.0762566282345928,0.0072852573622542,0.0246833544224501,164.924255371094,1.79889905452728,1.80262207984924,0.0630254074931145,0.0630254074931145,,,2.47092652320862,0,1,,,,,,1,1,1,1.80008935928345,0,0,1.80000375707944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579871.55641,1.79987776279449,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.31197462488482E-5,1.94272639098335E-8,0.264270650874898,0.000194881618256726,7.70681666364913E-6,6.47595175214666E-9,7.70673468573459E-6,6.30507950745995E-9,3.55467409943106E-8,1.4778103737422E-9,2.99990868576094,12.0147953033447,12,144,1,3,0.0760965713080828,0.00896963808021943,0.0241680815815926,160.845367431641,1.79870748519897,1.80255532264709,0.0630254074931145,0.0630254074931145,,,2.46981525421143,0,1,,,,,,1,1,1,1.7998628616333,0,0,1.79999076648497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818579939.2646,1.80042189359665,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.31094528746093E-5,6.28882307434931E-9,0.306043839837269,0.000138112699980354,7.70278597802129E-6,2.09617503530679E-9,7.70267609291752E-6,1.80845571433124E-9,4.11440250624921E-8,1.05992344437988E-9,3.00014214863927,15.8532876968384,12,190,1,3,0.0758220259835182,0.0106163369913249,0.0229978878051043,155.869338989258,1.79859602451324,1.80238485336304,0.0630254074931145,0.0630254074931145,,,2.47018480300903,0,1,,,,,,1,1,1,1.80068349838257,0,0,1.80000270135475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580005.96377,1.79997456073761,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30688211058906E-5,6.49664441688273E-9,0.354031740307361,0.000219032563136641,7.68994953071798E-6,2.16564459256619E-9,7.68980272896312E-6,1.36227966625469E-9,4.75160459320034E-8,1.68351139355224E-9,2.99986638582487,20.9024505615234,12,250,1,3,0.0754468074347681,0.0119989275258533,0.0213424284011126,150.311431884766,1.79894006252289,1.80176675319672,0.0630254074931145,0.0630254074931145,,,2.46928381919861,0,1,,,,,,1,1,1,1.80004274845123,0,0,1.80001075084393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580071.74418,1.79985928535461,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30184607116941E-5,7.47514455299256E-9,0.380483369153769,0.000150235082261824,7.67257116326296E-6,2.49163396531444E-9,7.6724019885587E-6,2.21471475295727E-9,5.09507732505573E-8,1.14161218465026E-9,3.00009738872267,27.5553760528564,12,330,1,3,0.0751100435077913,0.0128131706809932,0.0192586295306683,144.478851318359,1.79835653305054,1.80155205726624,0.0630254074931145,0.0630254074931145,,,2.46895861625671,0,1,,,,,,1,1,1,1.7999769449234,0,0,1.80000751018524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580137.2139,1.79943913221359,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.2975566714811E-5,5.9025713855004E-9,0.340066159070149,0.000210961175535677,7.65831699746646E-6,1.96747106747955E-9,7.65818210626093E-6,1.12351068440264E-9,4.54539440381074E-8,1.61513657113021E-9,3.00008039918063,36.330451965332,12,435,1,3,0.0749306896582387,0.0128376423391865,0.0168709177523851,138.887954711914,1.79856944084167,1.80227506160736,0.0630254074931145,0.0630254074931145,,,2.4684112071991,0,1,,,,,,1,1,1,1.80019247531891,0,0,1.79998465627432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580202.42544,1.79969304800034,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.29377490862048E-5,5.48627935708876E-9,0.303288034884996,0.000151942550465132,7.6452543251989E-6,1.82860143889438E-9,7.64514721613669E-6,1.41466653176528E-9,4.04690075234434E-8,1.15866381070171E-9,3.00025978345828,47.8707122802734,12,574,1,3,0.074884648197401,0.0121977696508331,0.0143573526293039,134.153121948242,1.79865884780884,1.80245327949524,0.0630254074931145,0.0630254074931145,,,2.46857476234436,0,1,,,,,,1,1,1,1.80003488063812,0,0,1.80001088231802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
