[Data]

Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16

,3825559857.17477,1.80160892009735,-0.252101629972458,,,6,,,,25.9127864837646,,,1,,,,,,,,,,,,,,,,,,,,,,1.79836714267731,1.80164587497711,-0.252101629972458,-0.252101629972458,,,2.32953238487244,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80157196521759,0,1816138976,1.80005590120951,,,-1.76176791680298E-5,8.73962167706476E-7,-1.76518684560506E-5,8.74033927950416E-7,0.936617732048035,0.982334315776825,25.6828517913818,0.187766671180725,30,4,200,-0.00025571949663572,0.000774145184550434,0.162931337952614,1,,,,,,,,,,,,,,,,

,3825559886.52727,1.80158925056458,28.0841197967529,,,6,,,,25.9127864837646,,,1,,,,,,,,,,,,,,,,,,,,,,1.79879534244537,1.80180609226227,28.0841197967529,28.0841197967529,,,2.33067226409912,-99999999,1,0,0,0,0.0138092041015625,32.7468223571777,1,1,1,1.80137240886688,0,1816139104,1.8001392212781,,,0.000756265657595014,3.74629304084748E-5,0.000756270498601397,3.74629425051573E-5,0.965565741062164,0.965742528438568,25.8997268676758,0.187498673796654,30,4,200,0.000789952289778739,-3.16774010658264,0.412855297327042,1,,,,,,,,,,,,,,,,

,3825559914.93314,1.80165410041809,111.693618774414,,,6,,,,25.9127864837646,,,10,,,,,,,,,,,,,,,,,,,,,,1.79827165603638,1.80204439163208,111.693618774414,111.693618774414,,,2.33581471443176,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.8012638092041,0,1816139040,1.80006991113935,,,0.00303459136001663,0.000150323298142823,0.00303462300276911,0.000150323348099193,0.965663969516754,0.965958893299103,25.8959541320801,0.187495738267899,30,4,200,0.000297321734251454,-4.76689100265503,4.77245187759399,1,,,,,,,,,,,,,,,,

,3825559944.4504,1.80160766839981,251.862106323242,,,6,,,,25.9127864837646,,,10,,,,,,,,,,,,,,,,,,,,,,1.79847896099091,1.80200231075287,251.862106323242,251.862106323242,,,2.3341691493988,-99999999,1,0,0,0,0.0145721435546875,33.7243423461914,1,1,1,1.80121302604675,0,1816138976,1.80020306110382,,,0.00684362475606584,0.000339007849181558,0.00684370494120454,0.000339008059691669,0.96583765745163,0.966163635253906,25.8951377868652,0.18750387430191,30,4,200,0.000936070515308529,-2.83504843711853,0.404993027448654,1,,,,,,,,,,,,,,,,

,3825559968.06203,1.80170196294785,447.858489990234,,,6,,,,25.9127864837646,,,10,,,,,,,,,,,,,,,,,,,,,,1.79822170734406,1.8019152879715,447.858489990234,447.858489990234,,,2.33547472953796,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80148863792419,0,1816139040,1.80013103918596,,,0.0119138483669329,0.000590167289038874,0.011913991994508,0.000590167456795831,0.965869963169098,0.966216206550598,25.8946094512939,0.187488198280334,30,4,200,0.00225397944450378,-4.90557050704956,0.738434374332428,1,,,,,,,,,,,,,,,,

,3825559997.40211,1.80169945955276,699.922302246094,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79822993278503,1.80221486091614,699.922302246094,699.922302246094,,,2.33754563331604,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80118405818939,0,1816138912,1.80009273886681,,,0.0175289449059189,0.000868319524300539,0.0175292213933488,0.000868319843805707,0.965817093849182,0.966270267963409,25.8919887542725,0.187493830919266,30,4,200,0.00035145744914189,-4.73506259918213,4.74841928482056,1,,,,,,,,,,,,,,,,

,3825560027.05324,1.80161064863205,1007.72576904297,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79838252067566,1.80184066295624,1007.72576904297,1007.72576904297,,,2.33818125724792,-99999999,1,0,0,0,0.0138092041015625,33.2355842590332,1,1,1,1.80138063430786,0,1816139008,1.80013480186462,,,0.0230151127057516,0.00114020681650931,0.0230157121465281,0.00114020766019745,0.962805449962616,0.963491201400757,25.8861331939697,0.187513083219528,30,4,200,0.000903994834516198,-0.952217400074005,0.151759222149849,1,,,,,,,,,,,,,,,,

,3825560051.64016,1.80164086818695,1371.84875488281,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.7986181974411,1.80179250240326,1371.84875488281,1371.84875488281,,,2.33936905860901,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80148923397064,0,1816138912,1.80015217065811,,,0.0306969407693159,0.00152086815979924,0.0306976902727855,0.00152086930951702,0.961237907409668,0.961852252483368,25.8870124816895,0.187530517578125,30,4,200,0.000874483957886696,-1.27785158157349,0.200169667601585,1,,,,,,,,,,,,,,,,

,3825560076.45701,1.80170470476151,1791.67346191406,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79831719398499,1.80194664001465,1791.67346191406,1791.67346191406,,,2.33967876434326,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80146276950836,0,1816138880,1.80011808872223,,,0.0410937158421114,0.00203589990622747,0.041094570031407,0.00203590214317002,0.962162733078003,0.962685883045197,25.8892784118652,0.187521651387215,30,4,200,0.0022363483440131,-1.69833743572235,0.277240842580795,1,,,,,,,,,,,,,,,,

,3825560101.66059,1.80184042453766,2267.90600585938,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79837048053741,1.80205357074738,2267.90600585938,2267.90600585938,,,2.3373019695282,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80162727832794,0,1816139008,1.80016263723373,,,0.053002819421179,0.00262566620468565,0.0530037072899342,0.00262566853274822,0.964713037014008,0.965164959430695,25.8916835784912,0.187509849667549,30,4,200,0.00203459104523063,-2.18291282653809,0.344945460557938,1,,,,,,,,,,,,,,,,

,3825560127.13773,1.80170035362244,2799.802734375,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79838478565216,1.80174839496613,2799.802734375,2799.802734375,,,2.34123635292053,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80137062072754,0,1816138944,1.80010307918895,,,0.0636754936966494,0.00315426932806026,0.0636766465673896,0.00315427096764454,0.965637505054474,0.966152548789978,25.8905696868896,0.187494784593582,30,4,200,0.00133528001606464,-2.60036849975586,0.419916123151779,1,,,,,,,,,,,,,,,,

,3825560152.77105,1.8017281293869,3387.95556640625,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79824268817902,1.80202424526215,3387.95556640625,3387.95556640625,,,2.34127116203308,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80143201351166,0,1816139104,1.80014444481243,,,0.0724926315182874,0.00359105825082605,0.072494273375947,0.00359105979667527,0.965499818325043,0.966149151325226,25.8878135681152,0.187496483325958,30,4,200,0.000999496667645872,-2.96964621543884,0.470202147960663,1,,,,,,,,,,,,,,,,

,3825560178.80036,1.80154395103455,4032.27709960937,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79837954044342,1.80158519744873,4032.27709960937,4032.27709960937,,,2.34237718582153,-99999999,1,0,0,0,0.0145721435546875,32.7468223571777,1,1,1,1.80150270462036,0,1816138784,1.80013256072998,,,0.0800863617820168,0.00396725412115847,0.0800887216266565,0.00396725749801215,0.965299010276794,0.966132640838623,25.8844451904297,0.187502682209015,30,4,200,0.000912510440684855,-3.28054714202881,0.520041227340698,1,,,,,,,,,,,,,,,,

,3825560205.39153,1.80149799585342,4732.17431640625,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79868912696838,1.80175745487213,4732.17431640625,4732.17431640625,,,2.33972477912903,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80123853683472,0,1816138944,1.80013244802302,,,0.0864547475805484,0.00428276294796014,0.0864579726599535,0.00428276344192075,0.96504807472229,0.966127455234528,25.8804817199707,0.187481626868248,30,4,200,0.00103577075060457,-3.54174900054932,0.558121025562286,1,,,,,,,,,,,,,,,,

,3825560232.24087,1.80179965496063,5488.26416015625,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79877471923828,1.80212986469269,5488.26416015625,5488.26416015625,,,2.34334444999695,-99999999,1,0,0,0,0.0145721435546875,33.7243423461914,1,1,1,1.80146944522858,0,1816138944,1.8004106499932,,,0.091671674653471,0.00454125257119348,0.0916760845944562,0.00454125949446624,0.964715242385864,0.966059327125549,25.8766288757324,0.187504336237907,30,4,200,0.00112098781391978,-3.74823904037476,0.597320914268494,1,,,,,,,,,,,,,,,,

,3825560259.67381,1.80158686637878,6300.359375,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79855740070343,1.801882147789,6300.359375,6300.359375,,,2.34200739860535,-99999999,1,0,0,0,0.0145721435546875,32.7468223571777,1,1,1,1.80129158496857,0,1816138912,1.80011967095462,,,0.0958393612661526,0.0047477833834069,0.0958451223291944,0.00474779370399893,0.964286625385284,0.965945422649384,25.8724613189697,0.187511324882507,30,4,200,0.00122557487338781,-3.92020797729492,0.623451054096222,1,,,,,,,,,,,,,,,,

,3825560286.94446,1.80166834592819,7168.43359375,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79816555976868,1.80198788642883,7168.43359375,7168.43359375,,,2.34402418136597,-99999999,1,0,0,0,0.0145721435546875,33.2355842590332,1,1,1,1.80134880542755,0,1816138752,1.80012176253579,,,0.0990907352343659,0.00490891981547774,0.0990979611363556,0.00490893214244681,0.963911294937134,0.965915501117706,25.8683338165283,0.187510520219803,30,4,200,0.00124012271407992,-4.04638385772705,0.649499297142029,1,,,,,,,,,,,,,,,,

,3825560314.89421,1.80197381973267,8092.310546875,,,6,,,,25.9127864837646,,,100,,,,,,,,,,,,,,,,,,,,,,1.79811906814575,1.8020966053009,8092.310546875,8092.310546875,,,2.3439404964447,-99999999,1,0,0,0,0.0145721435546875,33.7243423461914,1,1,1,1.80185103416443,0,1816138912,1.80018280852925,,,0.101606106047665,0.00503362058631728,0.101615040807591,0.00503363724711893,0.963419377803802,0.965807735919952,25.8640594482422,0.187495723366737,30,4,200,0.00135504512581974,-4.15048742294312,0.665976881980896,1,,,,,,,,,,,,,,,,

