[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3826036234.35486,03/27/2021,7:50 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AP424,SAMPLE_MATERIAL
INFO,capsule nujol,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.35,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3826037257.792,1.80218118429184,-0.0882355645298958,,,6,,,,26.0463790893555,,,1,,,,,,,,,,,,,,,,,,,,,,1.79834449291229,1.80242264270782,-0.0882355645298958,-0.0882355645298958,,,2.30850005149841,-99999999,1,0,0,0,0.0189208984375,33.2355842590332,1,1,1,1.80193972587585,0,1816138944,1.80008728163583,,,5.37607269867048E-5,2.66180647903958E-6,5.37623970007188E-5,2.6618123482092E-6,0.98617696762085,0.988451421260834,26.0177040100098,0.187378644943237,30,4,200,5.18280212418176E-5,-0.00105948117561638,0.281864792108536,1,,,,,,,,,,,,,,,,
,3826037287.1252,1.80225300788879,12.3277683258057,,,6,,,,26.0463790893555,,,1,,,,,,,,,,,,,,,,,,,,,,1.7982542514801,1.80259537696838,12.3277683258057,12.3277683258057,,,2.30667233467102,-99999999,1,0,0,0,0.0200653076171875,32.7468223571777,1,1,1,1.8019106388092,0,1816139008,1.80021585117687,,,0.000381206451557886,1.88739331285615E-5,0.000381215034236363,1.88739648186194E-5,0.987816035747528,0.98966634273529,26.0220241546631,0.187376633286476,30,4,200,0.000580766121856868,-1.96153974533081,-0.17183530330658,1,,,,,,,,,,,,,,,,
,3826037315.88143,1.80213922262192,49.8909072875977,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,1.7981344461441,1.80270636081696,49.8909072875977,49.8909072875977,,,2.31307601928711,-99999999,1,0,0,0,0.0211334228515625,32.7468223571777,1,1,1,1.80157208442688,0,1816138944,1.8001031989143,,,0.00136611064622955,6.76376523230773E-5,0.00136613964282806,6.76377540345225E-5,0.987736165523529,0.98946613073349,26.0226821899414,0.187386497855186,30,4,200,0.000158108610776253,-4.87958002090454,4.83764410018921,1,,,,,,,,,,,,,,,,
,3826037345.38937,1.80198734998703,112.07177734375,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,1.79824769496918,1.80232775211334,112.07177734375,112.07177734375,,,2.31347751617432,-99999999,1,0,0,0,0.018310546875,32.7468223571777,1,1,1,1.80183935165405,0,1816139264,1.80014757676558,,,0.00299635817491255,0.000148353120345432,0.0029964226578798,0.000148353313327785,0.987665891647339,0.989431321620941,26.022388458252,0.1873719394207,30,4,200,0.000390732835512608,-1.27963829040527,0.127421244978905,1,,,,,,,,,,,,,,,,
,3826037369.51868,1.80200898647308,199.664474487305,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,1.79786062240601,1.80245101451874,199.664474487305,199.664474487305,,,2.31392121315002,-99999999,1,0,0,0,0.01861572265625,31.7693061828613,1,1,1,1.80156695842743,0,1816139008,1.80017478899522,,,0.0052904768305384,0.000261937334820508,0.00529058518236407,0.000261937597907444,0.987744212150574,0.989452123641968,26.0228328704834,0.187369614839554,30,4,200,0.000684476341120899,-2.12278127670288,0.361835330724716,1,,,,,,,,,,,,,,,,
,3826037394.13959,1.80253636837006,312.278259277344,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,1.7979451417923,1.80273532867432,312.278259277344,312.278259277344,,,2.31453084945679,-99999999,1,0,0,0,0.0183868408203125,32.7468223571777,1,1,1,1.8023374080658,0,1816138944,1.800140413371,,,0.00823079413033374,0.000407515999466765,0.00823097396997508,0.000407516749598805,0.987684547901154,0.989433169364929,26.0225124359131,0.187379688024521,30,4,200,0.000928843568544835,-3.38987278938293,0.475856065750122,1,,,,,,,,,,,,,,,,
,3826037418.30145,1.80226677656174,449.6484375,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,1.79819989204407,1.80282509326935,449.6484375,449.6484375,,,2.31534957885742,-99999999,1,0,0,0,0.019073486328125,32.7468223571777,1,1,1,1.80170845985413,0,1816139072,1.80031021074815,,,0.0116366770354403,0.000576143156075042,0.011636928912889,0.000576143958681098,0.987937390804291,0.989752650260925,26.0223655700684,0.187384396791458,30,4,200,0.00195467169396579,-4.8094162940979,0.646066963672638,1,,,,,,,,,,,,,,,,
,3826037447.88516,1.80186349153519,612.140502929688,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79818105697632,1.80282175540924,612.140502929688,612.140502929688,,,2.31923794746399,-99999999,1,0,0,0,0.0179290771484375,32.7468223571777,1,1,1,1.80135071277618,0,1816139200,1.80006690252395,,,0.0153758851869414,0.000761278380070213,0.0153762653096938,0.000761279583217034,0.987576127052307,0.989603996276855,26.0207138061523,0.187367990612984,30,4,200,0.000208573299460113,-4.85805702209473,4.81290054321289,1,,,,,,,,,,,,,,,,
,3826037477.29398,1.8023527264595,799.754516601562,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79868566989899,1.80297696590424,799.754516601562,799.754516601562,,,2.31619763374329,-99999999,1,0,0,0,0.019683837890625,33.2355842590332,1,1,1,1.80172848701477,0,1816138976,1.80031740665436,,,0.0188759903501123,0.000934599597107922,0.0188766004040499,0.000934601140184109,0.985474646091461,0.987766325473785,26.01682472229,0.187400966882706,30,4,200,0.000267705821897835,-0.775726079940796,0.114677399396896,1,,,,,,,,,,,,,,,,
,3826037501.95235,1.80157488584518,1012.28875732422,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79753744602203,1.8020566701889,1012.28875732422,1012.28875732422,,,2.31895184516907,-99999999,1,0,0,0,0.018463134765625,32.7468223571777,1,1,1,1.80171358585358,0,1816138912,1.80011980100112,,,0.0231217314837345,0.00114485444355674,0.0231225416692342,0.00114485655427934,0.983371675014496,0.985504269599914,26.0156364440918,0.187394350767136,30,4,200,-2.43332146965258E-6,-0.951726734638214,0.142191335558891,1,,,,,,,,,,,,,,,,
,3826037527.02348,1.80180436372757,1249.52905273438,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79789698123932,1.80249547958374,1249.52905273438,1249.52905273438,,,2.31872940063477,-99999999,1,0,0,0,0.017242431640625,33.2355842590332,1,1,1,1.80158472061157,0,1816138976,1.80012838406996,,,0.0282257682421226,0.00139758905058925,0.0282266734572519,0.00139759189448165,0.98287171125412,0.984725058078766,26.0171337127686,0.187402725219727,30,4,200,-0.00015935990086291,-1.16571307182312,0.171257212758064,1,,,,,,,,,,,,,,,,
,3826037551.54395,1.80247312784195,1512.19372558594,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79847705364227,1.80278861522675,1512.19372558594,1512.19372558594,,,2.32007098197937,-99999999,1,0,0,0,0.0202178955078125,33.2355842590332,1,1,1,1.80215764045715,0,1816139136,1.80030731721358,,,0.0342274224366065,0.00169476122445542,0.0342284398814775,0.00169476448786353,0.982775092124939,0.984472155570984,26.0182456970215,0.187398836016655,30,4,200,0.000221298862015828,-1.41598832607269,0.205883964896202,1,,,,,,,,,,,,,,,,
,3826037575.8227,1.80166441202164,1799.70300292969,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.7976815700531,1.80284869670868,1799.70300292969,1799.70300292969,,,2.3196976184845,-99999999,1,0,0,0,0.0202178955078125,33.2355842590332,1,1,1,1.80105602741241,0,1816137728,1.8000538891012,,,0.0410502119202676,0.00203254723254933,0.0410513319512086,0.00203255119865807,0.984023809432983,0.98569667339325,26.0195217132568,0.187400221824646,30,4,200,0.000131669541588053,-1.69734179973602,0.244284391403198,1,,,,,,,,,,,,,,,,
,3826037600.91678,1.80213975906372,2112.30883789062,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79865407943726,1.80275845527649,2112.30883789062,2112.30883789062,,,2.32059478759766,-99999999,1,0,0,0,0.0203704833984375,32.7468223571777,1,1,1,1.80152106285095,0,1816138656,1.80030966888775,,,0.0484985448463833,0.00240125943745455,0.0484997828523396,0.00240126331071771,0.986344635486603,0.988224983215332,26.02028465271,0.187402382493019,30,4,200,0.000361991202225909,-1.9921669960022,0.2918481528759,1,,,,,,,,,,,,,,,,
,3826037625.70451,1.80190706253052,2450.23852539062,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79786145687103,1.80281388759613,2450.23852539062,2450.23852539062,,,2.32144260406494,-99999999,1,0,0,0,0.01861572265625,32.7468223571777,1,1,1,1.8011771440506,0,1816139104,1.80019076304002,,,0.0553553409546484,0.00274072316099138,0.0553568188333011,0.00274072750953887,0.987169682979584,0.98930412530899,26.019645690918,0.187362805008888,30,4,200,0.00102138111833483,-2.26495981216431,0.334499329328537,1,,,,,,,,,,,,,,,,
,3826037650.57711,1.80195224285126,2812.31958007813,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79799211025238,1.80231165885925,2812.31958007813,2812.31958007813,,,2.32148742675781,-99999999,1,0,0,0,0.0008392333984375,32.7468223571777,1,1,1,1.80161166191101,0,1816139136,1.80015911839225,,,0.0616387167841005,0.0030518208012249,0.0616405830223394,0.0030518287078685,0.987191379070282,0.989574253559113,26.0183067321777,0.1873799264431,30,4,200,0.000853706849738956,-2.52832794189453,0.369745343923569,1,,,,,,,,,,,,,,,,
,3826037675.53182,1.80234533548355,3199.85009765625,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.7982702255249,1.80256938934326,3199.85009765625,3199.85009765625,,,2.32261061668396,-99999999,1,0,0,0,0.020751953125,32.7468223571777,1,1,1,1.80171501636505,0,1816139072,1.80012534965168,,,0.0673756087905736,0.00333587918090264,0.0673778900820558,0.00333588567488763,0.986827433109283,0.989526212215424,26.0162391662598,0.187382012605667,30,4,200,0.000797164859250188,-2.75767636299133,0.401965379714966,1,,,,,,,,,,,,,,,,
,3826037700.51404,1.80192571878433,3612.51513671875,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79867720603943,1.80245220661163,3612.51513671875,3612.51513671875,,,2.32347178459167,-99999999,1,0,0,0,0.02044677734375,32.7468223571777,1,1,1,1.80183923244476,0,1816138848,1.80015773122961,,,0.072579765621324,0.00359356613410743,0.0725825385687622,0.00359357257600661,0.986402034759522,0.989412724971771,26.0141868591309,0.187375292181969,30,4,200,0.000751690356992185,-2.97413659095764,0.440002351999283,1,,,,,,,,,,,,,,,,
,3826037725.56745,1.80232286453247,4049.87353515625,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79820716381073,1.80239152908325,4049.87353515625,4049.87353515625,,,2.32068061828613,-99999999,1,0,0,0,0.01922607421875,32.7468223571777,1,1,1,1.80201089382172,0,1816138816,1.80021843043241,,,0.0772826444402887,0.00382643406630494,0.0772860619220172,0.00382644418958117,0.986013889312744,0.98939448595047,26.0119800567627,0.187377437949181,30,4,200,0.000740420480724424,-3.17360687255859,0.460694134235382,1,,,,,,,,,,,,,,,,
,3826037750.98383,1.80173820257187,4512.6943359375,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79886138439178,1.80221164226532,4512.6943359375,4512.6943359375,,,2.32462310791016,-99999999,1,0,0,0,0.018310546875,33.2355842590332,1,1,1,1.80152261257172,0,1816138880,1.8001748865301,,,0.081470439072306,0.00403380680415532,0.081474537487115,0.00403381851494227,0.985578000545502,0.989360094070435,26.0096473693848,0.187387272715569,30,4,200,0.000924301915802062,-3.34603667259216,0.484941005706787,1,,,,,,,,,,,,,,,,
,3826037776.51272,1.80192488431931,4999.9189453125,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79850995540619,1.80225837230682,4999.9189453125,4999.9189453125,,,2.32422256469727,-99999999,1,0,0,0,0.018768310546875,33.2355842590332,1,1,1,1.80159139633179,0,1816138880,1.80020062489943,,,0.0851513485595493,0.00421608560134744,0.0851561776071358,0.00421609933549402,0.985152959823608,0.989344120025635,26.0073738098145,0.18738380074501,30,4,200,0.000935374991968274,-3.49650716781616,0.517103254795074,1,,,,,,,,,,,,,,,,
,3826037802.61164,1.80198580026627,4512.8203125,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79852747917175,1.80271065235138,4512.8203125,4512.8203125,,,2.32492256164551,-99999999,1,0,0,0,0.0189208984375,33.2355842590332,1,1,1,1.80126094818115,0,1816139072,1.80031954158436,,,0.0814267601263848,0.00403163724695759,0.0814307048538034,0.00403164754303356,0.98570042848587,0.989383399486542,26.0102367401123,0.187378421425819,30,4,200,-0.00126096000894904,-3.34995913505554,0.489485591650009,1,,,,,,,,,,,,,,,,
,3826037828.02692,1.80204224586487,4050.39038085937,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79835522174835,1.80285942554474,4050.39038085937,4050.39038085937,,,2.32502174377441,-99999999,1,0,0,0,0.0188446044921875,32.7468223571777,1,1,1,1.80180311203003,0,1816139072,1.80004995519465,,,0.0771769998207074,0.00382119922556867,0.0771803286844666,0.00382120944154965,0.986100018024445,0.989402592182159,26.0124397277832,0.187397703528404,30,4,200,-0.00115470832679421,-3.16797757148743,0.463434666395187,1,,,,,,,,,,,,,,,,
,3826037853.84015,1.80186176300049,3612.57836914063,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79749464988709,1.80264317989349,3612.57836914063,3612.57836914063,,,2.32506465911865,-99999999,1,0,0,0,0.0186920166015625,32.7468223571777,1,1,1,1.80156743526459,0,1816138976,1.80016257546165,,,0.0724175570072113,0.00358553305881517,0.0724202843477509,0.00358553863525749,0.986455917358398,0.98945289850235,26.0143203735352,0.187377288937569,30,4,200,-0.000416468945331871,-2.98000717163086,0.432284682989121,1,,,,,,,,,,,,,,,,
,3826037878.63712,1.80173623561859,3200.0517578125,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79831898212433,1.80220305919647,3200.0517578125,3200.0517578125,,,2.32529377937317,-99999999,1,0,0,0,0.0186920166015625,32.7468223571777,1,1,1,1.80126941204071,0,1816138880,1.80021079020067,,,0.0672282838815144,0.00332858850694952,0.0672305654344489,0.00332859498390443,0.98673814535141,0.989421546459198,26.0162010192871,0.187384620308876,30,4,200,-0.000178210204467177,-2.76034998893738,0.400687515735626,1,,,,,,,,,,,,,,,,
