[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3826043691.08919,03/27/2021,9:55 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AP424,SAMPLE_MATERIAL
INFO,capsule nujol,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.35,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3826044250.29775,3.00211334228516,-0.226891458034515,,,6,,,,26.0463790893555,,,1,,,,,,,,,,,,,,,,,,,,,,2.99835133552551,3.0025737285614,-0.226891458034515,-0.226891458034515,,,3.02623867988586,-99999999,1,0,0,0,0.0202178955078125,33.2355842590332,1,1,1,3.00165295600891,0,1816139040,3.00011529241289,,,3.19375983862285E-5,1.5816374179674E-6,3.19412974949606E-5,1.58164492103507E-6,0.975098013877869,0.98004812002182,25.9901027679443,0.187422573566437,30,4,200,-1.18914349513943E-5,-0.0576202608644962,0.0937333032488823,1,,,,,,,,,,,,,,,,
,3826044278.92797,3.00217473506927,12.3781890869141,,,6,,,,26.0463790893555,,,1,,,,,,,,,,,,,,,,,,,,,,2.9986264705658,3.00285863876343,12.3781890869141,12.3781890869141,,,3.02746939659119,-99999999,1,0,0,0,0.0189971923828125,33.2355842590332,1,1,1,3.00088453292847,0,1816138944,3.00030209801414,,,0.000232105566564725,1.14919040536952E-5,0.000232111670847731,1.14919232628795E-5,0.987044274806976,0.989109516143799,26.0198993682861,0.187381595373154,30,4,200,0.000404135382268578,-1.39955973625183,-0.308665186166763,1,,,,,,,,,,,,,,,,
,3826044302.08831,3.00197684764862,49.8909072875977,,,6,,,,26.0463790893555,,,1,,,,,,,,,,,,,,,,,,,,,,2.99851489067078,3.00261855125427,49.8909072875977,49.8909072875977,,,3.027498960495,-99999999,1,0,0,0,0.018157958984375,33.2355842590332,1,1,1,3.00133514404297,0,1816139168,3.00039692358537,,,0.000825764830666786,4.08846266117368E-5,0.000825781846797852,4.08846680171671E-5,0.98753696680069,0.989222884178162,26.022762298584,0.187380209565163,30,4,200,0.00153677118942142,-3.4652578830719,0.413800477981567,1,,,,,,,,,,,,,,,,
,3826044331.53821,3.00203251838684,112.210426330566,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,2.99814200401306,3.00208210945129,112.210426330566,112.210426330566,,,3.03451490402222,-99999999,1,0,0,0,0.0182342529296875,33.2355842590332,1,1,1,3.00206756591797,0,1816139008,3.00012026514326,,,0.00181078650594723,8.96541388427329E-5,0.00181082158024583,8.9654235605711E-5,0.987651646137238,0.989234030246735,26.0235595703125,0.187396988272667,30,4,200,0.000240800480241887,-4.78962564468384,4.80286264419556,1,,,,,,,,,,,,,,,,
,3826044360.99583,3.00178813934326,199.866149902344,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,2.99847674369812,3.00200057029724,199.866149902344,199.866149902344,,,3.03401231765747,-99999999,1,0,0,0,0.020599365234375,33.2355842590332,1,1,1,3.00132322311401,0,1816138976,3.00024583122947,,,0.00319607410778839,0.000158241270386817,0.00319613483079886,0.000158241395467559,0.987664699554443,0.989241421222687,26.0236110687256,0.187397107481956,30,4,200,0.000439383060438558,-1.28225076198578,0.218183219432831,1,,,,,,,,,,,,,,,,
,3826044385.12509,3.00192093849182,312.177429199219,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,2.99851536750793,3.00208735466003,312.177429199219,312.177429199219,,,3.03513360023499,-99999999,1,0,0,0,0.0206756591796875,33.2355842590332,1,1,1,3.001793384552,0,1816139008,3.0002279064872,,,0.00496887008721575,0.000246014284849666,0.00496896970389185,0.000246014661145154,0.987699031829834,0.989309787750244,26.0234184265137,0.187396481633186,30,4,200,0.00113232433795929,-2.08288788795471,0.251878887414932,1,,,,,,,,,,,,,,,,
,3826044409.20456,3.00190830230713,449.85009765625,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,2.99850296974182,3.00264072418213,449.85009765625,449.85009765625,,,3.03572630882263,-99999999,1,0,0,0,0.01800537109375,33.2355842590332,1,1,1,3.00117588043213,0,1816139104,3.00034286759116,,,0.00713349510508788,0.000353187075261572,0.00713362239123399,0.000353187365155991,0.987784683704376,0.989268064498901,26.0243663787842,0.187388002872467,30,4,200,-0.000454468128737062,-2.93121910095215,0.41929966211319,1,,,,,,,,,,,,,,,,
,3826044433.1965,3.00176286697388,612.392639160156,,,6,,,,26.0463790893555,,,10,,,,,,,,,,,,,,,,,,,,,,2.99847841262817,3.00247359275818,612.392639160156,612.392639160156,,,3.03634023666382,-99999999,1,0,0,0,0.017852783203125,33.2355842590332,1,1,1,3.00105214118958,0,1816138912,3.00031135298989,,,0.0096654528630668,0.000478543996568516,0.00966559734825028,0.000478544287171024,0.988308429718018,0.989607036113739,26.0261707305908,0.187391519546509,30,4,200,-0.000262789282714948,-3.9719352722168,0.566487789154053,1,,,,,,,,,,,,,,,,
,3826044462.68129,3.00205457210541,799.804931640625,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.99819135665894,3.00258231163025,799.804931640625,799.804931640625,,,3.03799247741699,-99999999,1,0,0,0,0.019989013671875,33.2355842590332,1,1,1,3.00127387046814,0,1816138880,3.00018811225891,,,0.0125959336444287,0.000623636372442475,0.0125961206019921,0.00062363653950894,0.988007307052612,0.989291131496429,26.0260124206543,0.187365114688873,30,4,200,-0.000673642556648701,-4.90350294113159,4.8821234703064,1,,,,,,,,,,,,,,,,
,3826044492.20097,3.00216925144196,1012.16271972656,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.99859189987183,3.00252914428711,1012.16271972656,1012.16271972656,,,3.04104018211365,-99999999,1,0,0,0,0.01922607421875,33.2355842590332,1,1,1,3.0018093585968,0,1816139008,3.00039222023704,,,0.0158034022834572,0.000782441640939421,0.0158036115908678,0.000782441830883432,0.987983107566834,0.98911851644516,26.0271415710449,0.187380343675613,30,4,200,-0.00105719128623605,-0.647847414016724,0.0975838080048561,1,,,,,,,,,,,,,,,,
,3826044516.66645,3.00225973129272,1249.54162597656,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.99836754798889,3.00268507003784,1249.54162597656,1249.54162597656,,,3.03973388671875,-99999999,1,0,0,0,0.0180816650390625,33.2355842590332,1,1,1,3.00132822990417,0,1816138944,3.00029037215493,,,0.0194155797694742,0.000961277680823476,0.0194158473659681,0.00096127834430067,0.98852550983429,0.989729523658752,26.0270729064941,0.187366336584091,30,4,200,-0.00183661992195994,-0.803453743457794,0.108768455684185,1,,,,,,,,,,,,,,,,
,3826044540.82726,3.00199997425079,1512.2314453125,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.99821758270264,3.00256061553955,1512.2314453125,1512.2314453125,,,3.04118275642395,-99999999,1,0,0,0,0.018768310546875,33.2355842590332,1,1,1,3.00143933296204,0,1816138848,3.00029854774475,,,0.0233177665343567,0.00115448124189583,0.0233180920803672,0.00115448220144545,0.98824554681778,0.989421248435974,26.0270462036133,0.187380567193031,30,4,200,-0.00122643914073706,-0.957868099212647,0.138004705309868,1,,,,,,,,,,,,,,,,
,3826044565.07474,3.00172829627991,1799.6904296875,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.99855780601501,3.00239729881287,1799.6904296875,1799.6904296875,,,3.04210042953491,-99999999,1,0,0,0,0.0186920166015625,33.2355842590332,1,1,1,3.00105929374695,0,1816138912,3.00030662796714,,,0.0275383905136062,0.00136345080795773,0.0275388121767401,0.00136345154517298,0.988044142723084,0.989350855350494,26.0258750915527,0.187367022037506,30,4,200,-0.00063382217194885,-1.13601219654083,0.160903468728066,1,,,,,,,,,,,,,,,,
,3826044589.86216,3.00175476074219,2112.59887695313,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.99859285354614,3.00250387191772,2112.59887695313,2112.59887695313,,,3.04159760475159,-99999999,1,0,0,0,0.019378662109375,33.2355842590332,1,1,1,3.00100564956665,0,1816138912,3.00023612109098,,,0.0319918018470009,0.00158394488753361,0.0319923108885169,0.00158394628245257,0.987974882125854,0.989297389984131,26.0256938934326,0.187384888529778,30,4,200,-0.000445563899120316,-1.31647479534149,0.190101400017738,1,,,,,,,,,,,,,,,,
