[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3825521966.70414,03/21/2021,8:59 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AP424,SAMPLE_MATERIAL
INFO,capsule nujol,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.42,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3825522329.35887,4.99999213218689,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.25501640946084E-5,5.63748809328598E-8,0.175175357482972,0.00108010294979512,1.08500666921271E-5,1.87916477503587E-8,1.08500159810502E-5,1.46898817470988E-8,3.3172798529815E-8,1.17189333742374E-8,2.99999668372795,0.700587213039398,45.6759692503843,32,1,3,0.107950129524036,0.00150590767878551,0.0262085013091564,178.586395263672,4.9986834526062,5.00142478942871,0.264706671237946,0.264706671237946,,,3.77393388748169,0,1,,,,,,1,1,1,4.99992084503174,0,0,5.00000113041705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825522574.49617,5.00001406669617,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.25473249399078E-5,6.57192579557394E-8,0.26908503126962,0.00134889059615517,1.08491446687083E-5,2.19064927270793E-8,1.08490250226156E-5,1.63015055933993E-8,5.0951950136153E-8,1.46340472525529E-8,2.99998994702159,0.920868396759033,34.749808021019,32,1,3,0.107933634728618,0.00193680908296831,0.0261639691889286,178.240295410156,4.99910020828247,5.00146484375,0.264706671237946,0.264706671237946,,,3.77214574813843,0,1,,,,,,1,1,1,5.00002384185791,0,0,5.00000406578543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825522768.33809,4.99952507019043,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.25005978128266E-5,7.25971689053052E-8,0.435735553992953,0.00185947292207089,1.08335037060525E-5,2.41989917512886E-8,1.0833190422512E-5,1.34058690796543E-8,8.23882190999817E-8,2.01463117219531E-8,3.000008002459,1.2005341053009,26.6548029403792,32,1,3,0.107765035531631,0.00256904627078136,0.0261443462222815,177.756896972656,4.99822998046875,5.00214385986328,0.264706671237946,0.264706671237946,,,3.77092742919922,0,1,,,,,,1,1,1,4.99904012680054,0,0,4.99998202757402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825522922.77613,4.99999618530273,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.26278741370203E-5,6.28121946823254E-8,0.384112621593014,0.00143890896805775,1.08759554891797E-5,2.09373933059143E-8,1.08757110855281E-5,1.39086750134016E-8,7.29121851188806E-8,1.56500222944928E-8,3.00000070517769,1.60113215446472,19.9858580759675,32,1,3,0.108177018736774,0.00294248976966976,0.0260841846466064,177.109466552734,4.99859952926636,5.00170755386353,0.264706671237946,0.264706671237946,,,3.77066159248352,0,1,,,,,,1,1,1,5.00003099441528,0,0,4.99999397947588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825523051.25127,4.99998831748962,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.25680022566798E-5,8.77513972303471E-8,0.891875132372593,0.0011951261561678,1.08559820010152E-5,2.92504152200862E-8,1.08546667967924E-5,2.62260741643548E-8,1.68979102195613E-7,1.29529851568359E-8,3.00000518180981,2.10176157951355,15.2253235152421,31,1,3,0.107924803429491,0.00446526610615722,0.0260685682296753,176.297760009766,4.99863624572754,5.00210285186768,0.264706671237946,0.264706671237946,,,3.77050065994263,0,1,,,,,,1,1,1,4.99998807907105,0,0,5.000007612055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825523155.6373,4.99999356269836,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.25781812745103E-5,8.89109214432002E-8,1.02469150786341,0.00180329589981978,1.08593951272927E-5,2.96369775509484E-8,1.08576585061926E-5,2.22495977359889E-8,1.94201682719769E-7,1.95781980514575E-8,2.99999962176828,2.70067071914673,12,32,1,3,0.107914068280524,0.00539432345202762,0.0260095465928316,175.357070922852,4.99904298782349,5.00228595733643,0.264706671237946,0.264706671237946,,,3.77056217193604,0,1,,,,,,1,1,1,4.99993848800659,0,0,5.00001295576704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825523249.01932,5.00008893013001,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.24834587671831E-5,8.44284034159855E-8,1.38559216512023,0.0020535463811561,1.08278082050148E-5,2.8142771550161E-8,1.08246421754487E-5,1.72371591136343E-8,2.61824937857903E-7,2.2246256678727E-8,3.00000315411374,3.51585006713867,12,42,1,3,0.107505814583502,0.00696134274176964,0.0259284265339375,174.002014160156,4.99873638153076,5.00174140930176,0.264706671237946,0.264706671237946,,,3.77051877975464,0,1,,,,,,1,1,1,5.00006771087646,0,0,4.99999491373698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825523335.62734,4.99998354911804,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.24423587172662E-5,4.54220546650396E-8,1.86848001459442,0.000748810847988534,1.08140949049891E-5,1.51406503518475E-8,1.08083450970138E-5,1.28116335763407E-8,3.52597331197303E-7,8.06854002794071E-9,3.00000684313386,4.60295295715332,12,55,1,3,0.107208705773966,0.00903024831698017,0.0258052665740252,172.208999633789,4.99871730804443,5.00149917602539,0.264706671237946,0.264706671237946,,,3.7705659866333,0,1,,,,,,1,1,1,4.99993228912354,0,0,5.00002029963902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825523418.86698,4.9999942779541,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.23916756286497E-5,4.38566434233899E-8,2.33456807363426,0.000817743404504153,1.07972024838927E-5,1.46188503717726E-8,1.07882408131623E-5,1.1671925997356E-8,4.39820003407957E-7,8.80209802856799E-9,3.00000631431814,6.01924657821655,12,72,1,3,0.106809270280391,0.0113440864388736,0.0256094262003899,169.87890625,4.99905633926392,5.00172662734985,0.264706671237946,0.264706671237946,,,3.77103209495544,0,1,,,,,,1,1,1,5.00004148483276,0,0,4.99998946248749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825523502.08288,5.00007057189941,0.264706671237946,,,5,,,,25.9099993854761,,,,,3.25011967505465E-5,4.67038105012271E-8,3.14406702843545,0.000933952106842908,1.08337505010348E-5,1.55679630599879E-8,1.08174433467484E-5,1.18599297403336E-8,5.94196397296598E-7,1.00848173206805E-8,2.99999494611233,7.90610837936401,12,94,1,3,0.106749630873867,0.0146976679851172,0.0252242553979158,166.859039306641,4.99903059005737,5.00192451477051,0.264706671237946,0.264706671237946,,,3.77086424827576,0,1,,,,,,1,1,1,5.00004577636719,0,0,5.00000319657502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
