[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3826051129.40718,03/27/2021,11:59 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AP424,SAMPLE_MATERIAL
INFO,capsule nujol,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.35,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3826051385.1188,1.80217182636261,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.79820287227631,1.80252957344055,999.771911621094,999.771911621094,,,2.31069111824036,-99999999,1,0,0,0,0.0197601318359375,33.2355842590332,1,1,1,1.80181407928467,0,1816139040,1.80022988536141,,,0.022586944348612,0.00111836900410103,0.0225877881616355,0.00111837111505853,0.983702301979065,0.986046850681305,26.0146007537842,0.1873919069767,30,4,200,0.000261996523477137,-0.927737653255463,0.140278145670891,1,,,,,,,,,,,,,,,,
,3826051403.32222,2.04026287794113,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,1.8924800157547,2.16915535926819,999.771911621094,999.771911621094,,,2.55273342132568,-99999999,1,0,0,0,0.0138092041015625,33.7243423461914,6,1,1,2.18804574012756,0,1816138912,2.02839385379444,,,0.0225343826166459,0.00111580884971159,0.0225348519453885,0.00111580991967893,0.981513917446136,0.982621550559998,26.0225963592529,0.187410309910774,30,4,200,-0.000980240758508444,-0.934922158718109,0.136879488825798,1,,,,,,,,,,,,,,,,
,3826051414.68893,2.33799600601196,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.19307017326355,2.46682810783386,999.771911621094,999.771911621094,,,2.72526907920837,-99999999,1,0,0,0,0.0182342529296875,33.7243423461914,6,1,1,2.48292183876038,0,1816138880,2.32492280006409,,,0.0210306153741877,0.00104147161142765,0.0210308968768163,0.00104147218468071,0.975964248180389,0.976504027843475,26.0272655487061,0.187418803572655,30,4,200,-0.00166313629597425,-0.882055103778839,0.126787260174751,1,,,,,,,,,,,,,,,,
,3826051425.64553,2.63136184215546,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.48685026168823,2.75088095664978,999.771911621094,999.771911621094,,,2.88798046112061,-99999999,1,0,0,0,0.02105712890625,33.7243423461914,6,1,1,2.77587342262268,0,1816139104,2.62015821933746,,,0.0190332080589458,0.000942767960473523,0.0190334374469251,0.000942768578978462,0.967962026596069,0.968319356441498,26.0283679962158,0.187458768486977,30,4,200,-0.00184032472316176,-0.801852881908417,0.119799174368381,1,,,,,,,,,,,,,,,,
,3826051436.56199,2.92830574512482,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,2.78135657310486,3.05988645553589,999.771911621094,999.771911621094,,,3.04004096984863,-99999999,1,0,0,0,0.01953125,33.7243423461914,6,1,1,3.07858753204346,0,1816139008,2.91435313224793,,,0.0167116042671931,0.000827914945248959,0.0167118339663753,0.000827915144700879,0.96299147605896,0.96335768699646,26.0267734527588,0.187484800815582,30,4,200,-0.00177389953751117,-0.714807212352753,0.0991636961698532,1,,,,,,,,,,,,,,,,
,3826051447.50627,3.23238492012024,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,3.07858753204346,3.36885142326355,999.771911621094,999.771911621094,,,3.18167090415955,-99999999,1,0,0,0,0.0191497802734375,32.7468223571777,6,1,1,3.38618230819702,0,1816139040,3.22015250812877,,,0.0147682578517188,0.000731494157932562,0.014768483070271,0.000731494512969281,0.968794584274292,0.969270884990692,26.0258808135986,0.187433555722237,30,4,200,-0.00124817830510437,-0.623551845550537,0.0911383703351021,1,,,,,,,,,,,,,,,,
,3826051458.46024,3.54463112354279,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,3.39082717895508,3.68369364738464,999.771911621094,999.771911621094,,,3.30389165878296,-99999999,1,0,0,0,0.0177764892578125,33.2355842590332,6,1,1,3.69843506813049,0,1816139008,3.52978405085477,,,0.0133827727431173,0.000662789679688403,0.0133829732254123,0.000662789807557456,0.97288703918457,0.973437666893005,26.0258636474609,0.187425270676613,30,4,200,-0.000873296230565757,-0.563380122184753,0.0809784680604935,1,,,,,,,,,,,,,,,,
,3826051469.66263,3.86215567588806,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,3.70434761047363,3.99988675117493,999.771911621094,999.771911621094,,,3.43872141838074,-99999999,1,0,0,0,0.0151824951171875,33.2355842590332,6,1,1,4.01996374130249,0,1816139040,3.8491119037975,,,0.0122651961969594,0.000607420519415987,0.0122653682376992,0.000607420661764205,0.974150896072388,0.974689722061157,26.0265674591064,0.187410339713097,30,4,200,-0.000721397926099598,-0.513775050640106,0.0758725851774216,1,,,,,,,,,,,,,,,,
,3826051480.79704,4.18474125862122,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,4.02841186523438,4.3202748298645,999.771911621094,999.771911621094,,,3.55421710014343,-99999999,1,0,0,0,0.0188446044921875,32.7468223571777,6,1,1,4.34107065200806,0,1816138912,4.17686629295349,,,0.0113359113733701,0.000561367873362015,0.0113360629019416,0.000561368146486897,0.976387917995453,0.976939558982849,26.0272331237793,0.18742424249649,30,4,200,-0.000676570634823293,-0.481166571378708,0.065992072224617,1,,,,,,,,,,,,,,,,
,3826051491.77094,4.5034875869751,999.771911621094,,,6,,,,26.0463790893555,,,100,,,,,,,,,,,,,,,,,,,,,,4.34692478179932,4.65058517456055,999.771911621094,999.771911621094,,,3.66418719291687,-99999999,1,0,0,0,0.0201416015625,33.2355842590332,6,1,1,4.66568660736084,0,1816139008,4.49260360544378,,,0.0105312631033634,0.000521507507173761,0.0105313906357385,0.000521507879227242,0.977483749389648,0.977995455265045,26.0283699035645,0.187405988574028,30,4,200,-0.000633743416983634,-0.443514078855514,0.0648868158459663,1,,,,,,,,,,,,,,,,
