[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3825394583.07018,03/20/2021,9:36 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AP498,SAMPLE_MATERIAL
INFO,crystals, nujol, capsule,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.87,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3825394882.26883,1.802290558815,-0.352942258119583,,,6,,,,24.2439994812012,,,10,,,,,,,,,,,,,,,,,,,,,,1.79506528377533,1.80268478393555,-0.352942258119583,-0.352942258119583,,,2.40334677696228,-99999999,1,0,0,0,0.0174713134765625,33.2355842590332,1,1,1,1.80189633369446,0,1816139040,1.80006418909345,,,0.000442599052222004,2.1919197795026E-5,0.00044268729054682,2.19193412758757E-5,0.974220335483551,0.983291447162628,24.1698513031006,0.18745382130146,30,4,200,-0.000176652625668794,-0.137857988476753,0.0722562298178673,1,,,,,,,,,,,,,,,,
,3825394911.56804,1.80047994852066,28.0463027954102,,,6,,,,24.2439994812012,,,10,,,,,,,,,,,,,,,,,,,,,,1.79801976680756,1.8020555973053,28.0463027954102,28.0463027954102,,,2.40336060523987,-99999999,1,0,0,0,0.0167083740234375,33.2355842590332,1,1,1,1.79847991466522,0,1816139040,1.79962962323969,,,0.00269072859133347,0.000133237597388174,0.00269106802236208,0.000133238161562509,0.979989171028137,0.98748242855072,24.1851024627686,0.187428325414658,30,4,200,0.000177848356543109,-1.09475755691528,0.171753063797951,1,,,,,,,,,,,,,,,,
,3825394934.94467,1.80173122882843,111.617988586426,,,6,,,,24.2439994812012,,,10,,,,,,,,,,,,,,,,,,,,,,1.79721450805664,1.80304956436157,111.617988586426,111.617988586426,,,2.40726351737976,-99999999,1,0,0,0,0.0156402587890625,33.2355842590332,1,1,1,1.80131042003632,0,1816138848,1.79971284216101,,,0.00929393185484111,0.000460204481578492,0.00929499157595668,0.000460206687591731,0.980636596679688,0.987487852573395,24.1882591247559,0.187429592013359,30,4,200,0.000442206539446488,-3.85109639167786,0.520793735980988,1,,,,,,,,,,,,,,,,
,3825394964.15283,1.80116921663284,251.824295043945,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,1.79817509651184,1.80208325386047,251.824295043945,251.824295043945,,,2.41098046302795,-99999999,1,0,0,0,0.016632080078125,33.2355842590332,1,1,1,1.80125570297241,0,1816139040,1.80007148356665,,,0.0203320414405016,0.00100677850641547,0.0203343963280418,0.00100678429653129,0.980448782444,0.98726487159729,24.1880416870117,0.187454834580421,30,4,200,0.000178475806023926,-4.82554244995117,4.80240726470947,1,,,,,,,,,,,,,,,,
,3825394993.5459,1.80144566297531,447.782867431641,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,1.79853665828705,1.802894115448,447.782867431641,447.782867431641,,,2.41039299964905,-99999999,1,0,0,0,0.016937255859375,33.2355842590332,1,1,1,1.79999721050262,0,1816139232,1.80055174827576,,,0.0356709422433588,0.00176631140480643,0.0356750256966678,0.00176631942756581,0.980482280254364,0.987305581569672,24.1880874633789,0.187413662672043,30,4,200,6.4569991081953E-5,-1.46666181087494,0.217779397964478,1,,,,,,,,,,,,,,,,
,3825395017.7394,1.80138581991196,699.834045410156,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,1.79764640331268,1.80197942256927,699.834045410156,699.834045410156,,,2.41197299957275,-99999999,1,0,0,0,0.0160980224609375,33.2355842590332,1,1,1,1.80079221725464,0,1816138048,1.7998942786997,,,0.0551206729352502,0.00272940138448833,0.0551270322876104,0.0027294172041543,0.980459749698639,0.987242877483368,24.1881732940674,0.187430992722511,30,4,200,-0.000179845723323524,-2.26565599441528,0.3411003947258,1,,,,,,,,,,,,,,,,
,3825395042.35,1.80211710929871,1007.63745117187,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,1.79851222038269,1.80268275737762,1007.63745117187,1007.63745117187,,,2.41306281089783,-99999999,1,0,0,0,0.0170135498046875,33.2355842590332,1,1,1,1.80155146121979,0,1816138944,1.80037756399675,,,0.0781577481369363,0.00387013728571955,0.0781668538143672,0.00387015576221015,0.980288863182068,0.987149059772491,24.1876277923584,0.187435835599899,30,4,200,-0.00143435702193528,-3.21450710296631,0.476045936346054,1,,,,,,,,,,,,,,,,
,3825395067.06859,1.80165565013886,1371.78564453125,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,1.7952047586441,1.80206334590912,1371.78564453125,1371.78564453125,,,2.41443610191345,-99999999,1,0,0,0,0.0165557861328125,33.2355842590332,1,1,1,1.80130529403687,0,1816139072,1.7994762767445,,,0.104225326568129,0.00516096262008788,0.104237818683109,0.00516097903389638,0.979920208454132,0.986964404582977,24.1863918304443,0.187442690134048,30,4,200,-0.00243464927189052,-4.300621509552,0.63417661190033,1,,,,,,,,,,,,,,,,
,3825395097.52977,1.80160105228424,1791.6357421875,,,6,,,,24.2439994812012,,,1000,,,,,,,,,,,,,,,,,,,,,,1.79818522930145,1.8023396730423,1791.6357421875,1791.6357421875,,,2.41792607307434,-99999999,1,0,0,0,0.015716552734375,33.2355842590332,1,1,1,1.80086243152618,0,1816139040,1.80010197276161,,,0.132059989197057,0.00653930749458302,0.132077998909763,0.00653935193320469,0.97956645488739,0.987411797046661,24.1832904815674,0.187437757849693,30,4,200,5.17753833264578E-5,-4.87348985671997,4.82578563690186,1,,,,,,,,,,,,,,,,
,3825395128.0475,1.801294028759,2267.90600585938,,,6,,,,24.2439994812012,,,1000,,,,,,,,,,,,,,,,,,,,,,1.79855990409851,1.80218780040741,2267.90600585938,2267.90600585938,,,2.4154155254364,-99999999,1,0,0,0,0.0164794921875,33.7243423461914,1,1,1,1.8004002571106,0,1816138976,1.80012858997692,,,0.160585059644976,0.00795189754970285,0.160609027046185,0.00795196536266753,0.979007303714752,0.98737645149231,24.1807346343994,0.18743921816349,30,4,200,-3.82031284971163E-5,-0.660624980926514,0.0978617072105408,1,,,,,,,,,,,,,,,,
