[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3825414583.90006,03/20/2021,3:09 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AP498,SAMPLE_MATERIAL
INFO,crystals, nujol, capsule,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.87,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3825415486.16565,1.9999566078186,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.000201282117794986,9.58452187942367E-7,14.5995069822629,0.00227412340781048,6.70942595128238E-5,3.19485111409341E-7,6.49278757424412E-5,2.92613910722383E-7,1.69118482475532E-5,1.28249115646042E-7,2.99999015201165,0.800566077232361,39.971716151935,32,1,3,0.643897333737815,0.176463448911347,0.0262706521898508,178.450180053711,1.99855697154999,2.0018482208252,1000.06182861328,1000.06182861328,,,2.51295471191406,0,1,,,,,,1,1,1,1.99957180023193,0,0,2.00000441175396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825415665.23222,2.00064325332642,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.00019382899143679,1.0867284449155E-6,17.9323836204056,0.00271309449631201,6.46097968790154E-5,3.62243561028568E-7,6.14710874281157E-5,3.43716399699327E-7,1.98929953288233E-5,1.14365353514035E-7,2.99999382136649,1.03099930286407,31.0378483390874,31,1,3,0.608617500769554,0.207188037196575,0.0262343231588602,177.999114990234,1.99582636356354,2.0018208026886,1000.06182861328,1000.06182861328,,,2.51212406158447,0,1,,,,,,1,1,1,2.00062990188599,0,0,2.00000044131121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825415808.38922,1.99979448318481,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.000185345161633341,8.73783606826755E-7,21.5424362407031,0.00260316194102486,6.17815731494322E-5,2.91260507402589E-7,5.74658746682674E-5,2.84699634450006E-7,2.268559078864E-5,6.14719555280852E-8,3.00000715723188,1.33032166957855,24.0543326713889,31,1,3,0.567595966329021,0.236181944186433,0.026164473965764,177.538375854492,1.99839580059052,2.00288939476013,1000.06182861328,1000.06182861328,,,2.51135492324829,0,1,,,,,,1,1,1,1.99976372718811,0,0,1.99999440389295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825415928.74188,1.9998522400856,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.000174815364786554,6.36195952187862E-7,25.7251643102448,0.00265990620803003,5.82718756058259E-5,2.12065635260868E-7,5.24963443918171E-5,2.06353773955399E-7,2.52931870691809E-5,4.88871520234079E-8,2.99999550330377,1.72026944160461,18.6017371616806,30,1,3,0.516585905107429,0.263357380171363,0.0263973716646433,176.790756225586,1.99891400337219,2.00203466415405,1000.06182861328,1000.06182861328,,,2.51087141036987,0,1,,,,,,1,1,1,1.9998699426651,0,0,2.00000747662146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825416033.78933,1.99985313415527,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.000161503237034102,3.76059100179865E-7,30.1030067966429,0.00228207211729042,5.38342514380675E-5,1.25352658723376E-7,4.65733622043543E-5,1.15037050929626E-7,2.70008992605635E-5,4.97972485428055E-8,3.00000896678018,2.22107553482056,14.4074343705674,31,1,3,0.455795951250247,0.2814329972532,0.0261107794940472,176.324157714844,1.99884140491486,2.00147986412048,1000.06182861328,1000.06182861328,,,2.51091980934143,0,1,,,,,,1,1,1,1.99980866909027,0,0,2.00000107922453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825416119.55952,2.00008851289749,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.000145907231905593,2.49256884439246E-7,34.6330064946981,0.00226165171855346,4.86357923594609E-5,8.30857108138214E-8,4.00179731754286E-5,7.3240883444388E-8,2.76405882962587E-5,3.92301967076833E-8,2.99999701510385,2.90091037750244,12,34,1,3,0.388362417502295,0.288743767624952,0.0260739028453827,176.799850463867,1.99554467201233,2.00330638885498,1000.06182861328,1000.06182861328,,,2.51092171669006,0,1,,,,,,1,1,1,2.00017809867859,0,0,1.99996236004407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825416201.71649,2.00006800889969,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.000130404066428279,2.9179472322798E-7,38.5912609664221,0.00321800719220229,4.34679932614807E-5,9.72648431173378E-8,3.39752625252582E-5,6.31380719526118E-8,2.71136123473047E-5,7.39867121633821E-8,3.00000199327897,3.70358967781067,12,44,1,3,0.326110860619905,0.284098391517253,0.025932589545846,172.815155029297,1.99686312675476,2.00240206718445,1000.06182861328,1000.06182861328,,,2.51083064079285,0,1,,,,,,1,1,1,1.99986159801483,0,0,2.00005627855842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825416280.64152,1.9998927116394,1000.06182861328,,,5,,,,24.2400001734495,,,,,0.000113921970904436,5.06027760709378E-7,42.2504945381134,0.0125101734482065,3.79738701175046E-5,1.6867538639363E-7,2.81087266527481E-5,1.62331685991369E-7,2.55326124331647E-5,4.58236805400865E-8,3.00000949473733,4.79836130142212,12,57,1,3,0.265527444279587,0.268775165246041,0.0270343869924545,177.36051940918,1.99600470066071,2.00249862670898,1000.06182861328,1000.06182861328,,,2.51150727272034,0,1,,,,,,1,1,1,1.99988305568695,0,0,1.99998084755687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825416360.919,2.00000929832458,1000.06182861328,,,5,,,,24.2400001734495,,,,,9.85061911849369E-5,3.33047167658817E-7,44.96626370805,0.00881944093472271,3.28355546542306E-5,1.11016255369845E-7,2.32319104536869E-5,7.11440399738774E-8,2.3204568216686E-5,8.52240255593343E-8,2.99998560165163,6.14035797119141,12,73,1,3,0.215166496285551,0.245784917401218,0.0257305223494768,169.394897460938,1.99661934375763,2.00308442115784,1000.06182861328,1000.06182861328,,,2.51119565963745,0,1,,,,,,1,1,1,2.00006890296936,0,0,1.99998519390444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825416442.58981,2.00026243925095,1000.06182861328,,,5,,,,24.2400001734495,,,,,8.47710894892826E-5,2.8469004115594E-7,46.9248904284619,0.0109389177203413,2.82568917844051E-5,9.48962167822352E-8,1.92982282579143E-5,5.77558113190003E-8,2.0640501917856E-5,7.52964688313138E-8,3.00001465610834,7.92664384841919,12,95,1,3,0.174312189100902,0.220491639511601,0.0252818744629622,167.071746826172,1.99605667591095,2.00259447097778,1000.06182861328,1000.06182861328,,,2.5109703540802,0,1,,,,,,1,1,1,1.99959933757782,0,0,2.00003774666492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
