[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3825362206.66378,03/20/2021,12:36 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AP498,SAMPLE_MATERIAL
INFO,crystals, nujol, capsule,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.87,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3825364151.32922,1.79994511604309,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000256732293943719,6.08298919857319E-8,-0.0978175287601245,0.000154711767147008,8.55774420447483E-5,2.02766332043076E-8,8.55773173301454E-5,1.53572733921453E-8,-1.46100985153602E-7,1.32399398813188E-8,2.99999962384332,1.00057637691498,31.9815665633281,32,1,3,0.85144814693833,0.0105503702224455,0.0261857341974974,178.098388671875,1.79865443706512,1.8043714761734,-0.516808271408081,-0.516808271408081,,,2.30345845222473,0,1,,,,,,1,1,1,1.7998560667038,0,0,1.80012532327541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825364331.16601,1.79973071813583,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000256419772698103,9.93164416183346E-8,-0.0684617278595418,0.000268233834478243,8.54732579014836E-5,3.3105480669371E-8,8.54731968845108E-5,2.38816277206777E-8,-1.02130481145495E-7,2.29268556012606E-8,2.99999998822616,1.32110726833344,24.2221057797734,31,1,3,0.85035989356549,0.0138788279298388,0.0261686034500599,177.603744506836,1.79832458496094,1.80231857299805,-0.516808271408081,-0.516808271408081,,,2.31382656097412,0,1,,,,,,1,1,1,1.79997968673706,0,0,1.79985457777188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825364472.42565,1.79992097616196,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000256459340117241,6.82670635152025E-8,-0.0584728059785835,0.000190503857103855,8.5486670553648E-5,2.2755747424606E-8,8.54866260361267E-5,1.58935823353052E-8,-8.7242806989109E-8,1.62855175356308E-8,2.99999214446301,1.73988473415375,18.3920229724668,31,1,3,0.850410905684915,0.0178112134114963,0.026121910661459,176.91340637207,1.79870247840881,1.80305087566376,-0.516808271408081,-0.516808271408081,,,2.3166241645813,0,1,,,,,,1,1,1,1.79995048046112,0,0,1.79999402140783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825364591.42047,1.7999729514122,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000256312895125132,4.06376009075339E-8,-0.0562987720190216,9.96745075718594E-5,8.54377968364546E-5,1.35458931497137E-8,8.54377555913329E-5,1.05341175070389E-8,-8.39510748045268E-8,8.51607829762951E-9,2.99999420181406,2.30147647857666,13.9041177686901,32,1,3,0.849791264295041,0.0228676801757878,0.0260528419166803,176.035614013672,1.79878044128418,1.80285847187042,-0.516808271408081,-0.516808271408081,,,2.31902480125427,0,1,,,,,,1,1,1,1.80010449886322,0,0,1.80001240395583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825364693.78212,1.7999307513237,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000256103614242713,4.55436271337289E-8,-0.025233742302827,0.000132104691909621,8.53678741261174E-5,1.51812095268375E-8,8.53678658470289E-5,1.0163097468062E-8,-3.75970252138607E-8,1.12774364353081E-8,2.99999990469905,3.0215425491333,12,36,1,3,0.848863951617732,0.0296840573231655,0.0259995236992836,174.862823486328,1.79901206493378,1.80331766605377,-0.516808271408081,-0.516808271408081,,,2.32109045982361,0,1,,,,,,1,1,1,1.79984939098358,0,0,1.80001639038004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825364782.79796,1.79994660615921,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000255749455854502,6.84603293730845E-8,-0.0162365289841522,9.03610862686509E-5,8.52498076720173E-5,2.28201068609064E-8,8.5249804249036E-5,2.14805564090118E-8,-2.41581660359169E-8,7.70343906982154E-9,3.00000038520263,3.9944474697113,12,47,1,3,0.847308402057304,0.03820486166474,0.0259339679032564,173.249862670898,1.79850518703461,1.80229115486145,-0.516808271408081,-0.516808271408081,,,2.31904768943787,0,1,,,,,,1,1,1,1.79988539218903,0,0,1.80001828698225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825364868.59539,1.80003529787064,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000255664217767996,5.97388990484486E-8,0.0133585640454723,0.000137952581703565,8.52216398427208E-5,1.99130210076071E-8,8.52216375264242E-5,1.60725573129225E-8,1.98695040587604E-8,1.17559052000356E-8,2.99999176546981,5.2525954246521,12,63,1,3,0.846396135636064,0.0491535671934643,0.0257562901824713,171.151016235352,1.79860901832581,1.80174374580383,-0.516808271408081,-0.516808271408081,,,2.3141143321991,0,1,,,,,,1,1,1,1.80001950263977,0,0,1.79999344607434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825364951.78072,1.80008667707443,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000255806658085801,5.15124245256283E-8,0.0332126486238229,0.000122766632787781,8.5268642234673E-5,1.71707590818184E-8,8.52686279088E-5,1.36118265649142E-8,4.94276771978286E-8,1.04667638271123E-8,3.00000857738277,6.92008590698242,12,83,1,3,0.845873786018556,0.0626305593683821,0.0254798866808414,168.496994018555,1.79874694347382,1.80303990840912,-0.516808271408081,-0.516808271408081,,,2.32264280319214,0,1,,,,,,1,1,1,1.80007135868073,0,0,1.79999841600657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825365034.06663,1.79998141527176,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000257358451052552,1.57617958736094E-8,0.0492269156523335,3.91027812252346E-5,8.57743026894096E-5,5.25320635348242E-9,8.57742710311409E-5,4.04382366220194E-9,7.36948494292766E-8,3.35315779248216E-9,3.00041437800377,9.10972499847412,12,109,1,3,0.849507982122845,0.0789825135232168,0.0249610748142004,165.103149414062,1.79885220527649,1.80225121974945,-0.516808271408081,-0.516808271408081,,,2.32537531852722,0,1,,,,,,1,1,1,1.79990839958191,0,0,1.80001520067453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825365110.83097,1.79973536729813,-0.516808271408081,,,5,,,,24.2400001734495,,,,,0.000257466328348989,1.81403623816306E-8,0.0633100695634265,2.39464563515683E-5,8.58210867230704E-5,6.04671540206843E-9,8.58210343311538E-5,5.68937350699775E-9,9.48296351140579E-8,2.04787603420806E-9,3.00003575088472,12.0147953033447,12,144,1,3,0.84777245547476,0.0969151483167771,0.0241658985614777,160.886901855469,1.79889643192291,1.80230796337128,-0.516808271408081,-0.516808271408081,,,2.326904296875,0,1,,,,,,1,1,1,1.79993617534637,0,0,1.79999736529678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
