[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3825501413.7209,03/21/2021,3:17 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SC_AZV129,SAMPLE_MATERIAL
INFO,capsule nujol,SAMPLE_COMMENT
INFO,22,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.87,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3825502934.56509,1.80056637525558,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,1.79830026626587,1.80192089080811,1000.03662109375,1000.03662109375,,,2.3663477897644,-99999999,1,0,0,0,0.0138092041015625,33.2355842590332,1,1,1,1.80130457878113,0,1816138816,1.80016654067569,,,0.0772646308672635,0.00380730865701928,0.0772744610239754,0.00380734694490035,0.980110466480255,0.987298309803009,24.1862773895264,0.186506778001785,30,3,200,0.000983946840278804,-3.16095781326294,0.479100733995438,1,,,,,,,,,,,,,,,,
,3825502949.36138,1.9562087059021,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,1.84159469604492,2.04799818992615,1000.03662109375,1000.03662109375,,,2.54955053329468,-99999999,1,0,0,0,0.0138092041015625,32.7468223571777,6,1,1,2.07082271575928,0,1816139104,1.94102342923482,,,0.0710539790379604,0.00350278595962071,0.0710626550851535,0.00350280295418768,0.964495420455933,0.96796327829361,24.1862487792969,0.186613947153091,30,3,200,-0.00682492693886161,-2.99368000030518,0.449854552745819,1,,,,,,,,,,,,,,,,
,3825502958.35886,2.18945944309235,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,2.07082271575928,2.29126572608948,1000.03662109375,1000.03662109375,,,2.70690631866455,-99999999,1,0,0,0,0,33.7243423461914,6,1,1,2.30809617042542,0,1816138752,2.17694420284695,,,0.0641180132036765,0.00316055734133,0.0641258647491615,0.00316057322638504,0.967307865619659,0.971118271350861,24.1862087249756,0.186586052179337,30,3,200,-0.00529972184449434,-2.6911985874176,0.40420389175415,1,,,,,,,,,,,,,,,,
,3825502967.39807,2.42764484882355,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,2.30809617042542,2.52781581878662,1000.03662109375,1000.03662109375,,,2.85403895378113,-99999999,1,0,0,0,0.0138092041015625,33.2355842590332,6,1,1,2.54719352722168,0,1816139104,2.41968882083893,,,0.0584213087735069,0.00287962967483107,0.0584287275982037,0.00287965230219079,0.968614101409912,0.972668051719666,24.1858024597168,0.186549320816994,30,3,200,-0.00443040672689676,-2.44730806350708,0.367969304323196,1,,,,,,,,,,,,,,,,
,3825502976.47265,2.67507421970367,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,2.55285549163818,2.77775239944458,1000.03662109375,1000.03662109375,,,2.99483156204224,-99999999,1,0,0,0,0,33.2355842590332,6,1,1,2.79729294776917,0,1816138944,2.66138111220466,,,0.0534584512942469,0.00263493636875251,0.0534653245853479,0.00263495791017171,0.969486176967621,0.973722457885742,24.1854915618896,0.186550304293633,30,3,200,-0.00376435136422515,-2.24126219749451,0.331650942564011,1,,,,,,,,,,,,,,,,
,3825502985.55555,2.92510092258453,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,2.80239820480347,3.02947974205017,1000.03662109375,1000.03662109375,,,3.12689352035522,-99999999,1,0,0,0,0.0138092041015625,33.7243423461914,6,1,1,3.0478036403656,0,1816138880,2.9099612765842,,,0.0492239385082843,0.0024261356434619,0.0492302270981415,0.00242615122062986,0.970638573169708,0.975107848644257,24.1852645874023,0.186543077230454,30,3,200,-0.00318809086456895,-2.06000280380249,0.305047452449799,1,,,,,,,,,,,,,,,,
,3825502994.72796,3.17490029335022,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,3.0478036403656,3.28795909881592,1000.03662109375,1000.03662109375,,,3.25077295303345,-99999999,1,0,0,0,0.0138092041015625,33.7243423461914,6,1,1,3.30199694633484,0,1816139072,3.16392193900214,,,0.0454821628927152,0.00224164449729048,0.0454880644402732,0.00224166088024794,0.971672177314758,0.976383149623871,24.1849918365479,0.186549291014671,30,3,200,-0.00270219636149704,-1.89632248878479,0.285362362861633,1,,,,,,,,,,,,,,,,
,3825503003.93411,3.43743753433228,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,3.30858755111694,3.54427194595337,1000.03662109375,1000.03662109375,,,3.3682119846344,-99999999,1,0,0,0,0.0138092041015625,33.2355842590332,6,1,1,3.56628751754761,0,1816138720,3.4228536023034,,,0.0423146379833318,0.00208550242533812,0.0423202271473532,0.00208552201029983,0.972130179405212,0.976945340633392,24.1849460601807,0.186510294675827,30,3,200,-0.00234667351469398,-1.76466059684753,0.263534128665924,1,,,,,,,,,,,,,,,,
,3825503013.02096,3.68937623500824,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,3.56628751754761,3.8060507774353,1000.03662109375,1000.03662109375,,,3.48090434074402,-99999999,1,0,0,0,0.0138092041015625,33.2355842590332,6,1,1,3.81246495246887,0,1816138400,3.68272370762295,,,0.039523380925031,0.00194788107870048,0.0395285062931887,0.00194789488460477,0.973107695579529,0.978132724761963,24.1849594116211,0.18653704226017,30,3,200,-0.00197949516586959,-1.64511859416962,0.246363312005997,1,,,,,,,,,,,,,,,,
,3825503022.09723,3.94707405567169,1000.03662109375,,,6,,,,24.2439994812012,,,100,,,,,,,,,,,,,,,,,,,,,,3.81246495246887,4.05726003646851,1000.03662109375,1000.03662109375,,,3.58577156066895,-99999999,1,0,0,0,0,33.2355842590332,6,1,1,4.08168315887451,0,1816138240,3.94568052887917,,,0.0371045817283046,0.00182864708903579,0.0371094200484159,0.00182866050475545,0.973648011684418,0.978823065757751,24.1848487854004,0.186530575156212,30,3,200,-0.00172728265170008,-1.53937518596649,0.234652861952782,1,,,,,,,,,,,,,,,,
