[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3823556302.49429,02/27/2021,2:58 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,MLKS329,SAMPLE_MATERIAL
INFO,capsule, dry,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3823556496.52329,1.79996824264526,800.057006835938,,,5,,,,26.7500001937151,,,,,3.17877815783072E-6,5.50828846754639E-8,2.90997871993018,0.0140320689540592,1.05959361267636E-6,1.83609770395994E-8,1.05822729923629E-6,1.07484655027457E-8,5.37922594394264E-8,1.48860997976295E-8,2.99999747054123,1.99984133243561,17.5013884513395,33,1,3,0.0105129669287544,0.000801294528674942,0.0261473692953587,176.502304077148,1.79845678806305,1.8025130033493,800.057006835938,800.057006835938,,,2.29067134857178,0,1,,,,,,1,1,1,1.79999542236328,0,0,1.80001026073485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823556609.94692,1.79996436834335,800.057006835938,,,5,,,,26.7500001937151,,,,,3.22534508246981E-6,5.50317722150572E-8,2.52027458572767,0.0132455289092994,1.07511494026165E-6,1.83439225833714E-8,1.07407500733188E-6,1.15497945875828E-8,4.72759283232171E-8,1.42513768011854E-8,3.00000024340176,2.59945297241211,13.4643713009828,33,1,3,0.0106671869865833,0.000807626842390974,0.0260848179459572,175.52099609375,1.79826295375824,1.8013186454773,800.057006835938,800.057006835938,,,2.29085779190063,0,1,,,,,,1,1,1,1.79997682571411,0,0,1.80000593445518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823556707.11868,1.80004471540451,800.057006835938,,,5,,,,26.7500001937151,,,,,3.2467537140957E-6,1.04072409603632E-7,3.61424466604183,0.0184420377557095,1.08225165510806E-6,3.4690816570294E-8,1.08009915054475E-6,2.84452459326573E-8,6.82236760709664E-8,1.9857510874841E-8,2.9999988438655,3.30276823043823,13,42,1,3,0.0107125074337254,0.00109594403214765,0.0260579455643892,174.384887695313,1.7986056804657,1.80205690860748,800.057006835938,800.057006835938,,,2.29124355316162,0,1,,,,,,1,1,1,1.80014264583588,0,0,1.79999675395641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823556798.66362,1.80000978708267,800.057006835938,,,5,,,,26.7500001937151,,,,,3.19348142857278E-6,7.3137508062255E-8,4.77900103078714,0.0160713291945432,1.06449278776941E-6,2.43791459537286E-8,1.06079203638433E-6,1.73835933243685E-8,8.86856851846458E-8,1.70924966159474E-8,3.00000287955408,4.21513509750366,13,54,1,3,0.0104997460158442,0.00138920191320923,0.025925038382411,172.876205444336,1.79880797863007,1.80153203010559,800.057006835938,800.057006835938,,,2.29136967658997,0,1,,,,,,1,1,1,1.79994368553162,0,0,1.80000251598572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823556886.96529,1.80001872777939,800.057006835938,,,5,,,,26.7500001937151,,,,,3.19557175261523E-6,6.30029451644202E-8,5.43818678154209,0.0121034990314039,1.06519367356554E-6,2.10010426303883E-8,1.06039925996255E-6,1.66680442049572E-8,1.00950342619243E-7,1.27757619712086E-8,2.99999129915843,5.41091823577881,13,70,1,3,0.0104706899828587,0.00163380837839025,0.0257831234484911,170.84489440918,1.79860007762909,1.80100727081299,800.057006835938,800.057006835938,,,2.29162383079529,0,1,,,,,,1,1,1,1.80004417896271,0,0,1.79999718000722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823556974.38768,1.79998201131821,800.057006835938,,,5,,,,26.7500001937151,,,,,3.16617462096765E-6,6.48633152288044E-8,5.89206959867128,0.0116589941940367,1.05538599961687E-6,2.16209915675133E-8,1.04981043260428E-6,1.79429006006182E-8,1.08340499272037E-7,1.20631502684338E-8,3.00001574979869,6.93581342697144,13,90,1,3,0.0103348942495173,0.00184732463440321,0.0255140624940395,168.457397460938,1.79898762702942,1.80128467082977,800.057006835938,800.057006835938,,,2.2913875579834,0,1,,,,,,1,1,1,1.79991912841797,0,0,1.79999112241408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823557060.01857,1.79998451471329,800.057006835938,,,5,,,,26.7500001937151,,,,,3.10940330440805E-6,5.6872323077039E-8,7.51352746807869,0.00695669917392622,1.03644505976116E-6,1.89570256797418E-8,1.02754615974145E-6,1.79586984103318E-8,1.35525833345213E-7,6.07074740284383E-9,3.00006572960519,8.89725303649902,13,115,1,3,0.0100560219879441,0.0022683986435611,0.025084001943469,165.401626586914,1.7986251115799,1.80126714706421,800.057006835938,800.057006835938,,,2.29133796691895,0,1,,,,,,1,1,1,1.79997873306274,0,0,1.7999998260112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823557140.22459,1.80006819963455,800.057006835938,,,5,,,,26.7500001937151,,,,,3.08099559835428E-6,2.34456845918275E-8,8.98280490666216,0.0048755253372765,1.02702928404334E-6,7.81546220744771E-9,1.01443302028314E-6,6.14164157650467E-9,1.60358341354012E-7,4.8333930382075E-9,2.99991017415259,11.4084405899048,13,148,1,3,0.00985274069181406,0.00268521511577345,0.0244104117155075,161.725341796875,1.79854214191437,1.80112886428833,800.057006835938,800.057006835938,,,2.29160523414612,0,1,,,,,,1,1,1,1.79997599124908,0,0,1.79999134710857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823557211.27791,1.80000948905945,800.057006835938,,,5,,,,26.7500001937151,,,,,2.99088956039148E-6,2.10458719089846E-8,10.3419516945232,0.00305865764317143,9.97003850351514E-7,7.01557677192065E-9,9.80806382316949E-7,6.71938610875322E-9,1.7898468655749E-7,2.01696994628249E-9,2.99987764273626,14.6017122268677,13,189,1,3,0.00944175007512692,0.00301160745917525,0.0234531238675118,157.4609375,1.79901254177094,1.80230069160461,800.057006835938,800.057006835938,,,2.2918655872345,0,1,,,,,,1,1,1,1.80003154277802,0,0,1.79999673005306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823557277.77789,1.79983407258987,800.057006835938,,,5,,,,26.7500001937151,,,,,2.90206983759312E-6,1.4439416891822E-8,11.9871565320971,0.00262710237062255,9.67387987499768E-7,4.81329507191835E-9,9.46293300924984E-7,4.49092317192515E-9,2.00919155342014E-7,1.73188293865932E-9,2.99990270201057,18.75119972229,13,243,1,3,0.00901328491079105,0.00334108541634032,0.0221196375787258,152.611312866211,1.79824769496918,1.80185401439667,800.057006835938,800.057006835938,,,2.29207253456116,0,1,,,,,,1,1,1,1.79992032051086,0,0,1.80000950006338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
