[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3818700606.10135,01/01/2021,10:11 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,MLKS253,SAMPLE_MATERIAL
INFO,crystals in mother solution, glass tube,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.96,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3818701380.81491,1.80011230707169,6000.28271484375,,,5,,,,23.14000017941,,,,,5.73014239994276E-6,7.18786502499934E-7,8.76707030919542,0.061222558885875,5.73011744938252E-6,7.18783372712806E-7,5.66316758230335E-6,6.34491995436332E-7,8.73372153475543E-7,3.37741683266396E-7,1.00000435428426,0.400388091802597,79.9224568741094,32,1,3,0.0187538720043214,0.00312273585251326,0.0268117692321539,179.144744873047,1.79842710494995,1.80232286453247,6000.28271484375,6000.28271484375,,,2.45799469947815,0,1,,,,,,1,1,1,1.80008018016815,0,0,1.79999596058965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818701710.34358,1.8005205988884,6000.28271484375,,,5,,,,23.14000017941,,,,,4.5135678069463E-6,1.62597355958625E-6,10.7264992096745,0.234326465501045,4.51352910320664E-6,1.62595961690054E-6,4.43466340095115E-6,1.24671199459958E-6,8.40062786794967E-7,1.04376907326903E-6,1.00000857505043,0.510498106479645,62.6838759905879,32,1,3,0.0146759616538578,0.00298069655106574,0.0267604384571314,178.964965820313,1.79829335212708,1.80220103263855,6000.28271484375,6000.28271484375,,,2.45641541481018,0,1,,,,,,1,1,1,1.80067312717438,0,0,1.80000212184051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818701964.63982,1.80013024806976,6000.28271484375,,,5,,,,23.14000017941,,,,,5.19325188725902E-6,5.11620941322205E-7,14.8622568035799,0.0602380517240143,5.19328289618683E-6,5.11623996212894E-7,5.01954293636863E-6,4.18275548524798E-7,1.33205703698393E-6,2.94626337938635E-7,0.999994029031649,0.700587213039398,45.6759692503843,32,1,3,0.0165851724836703,0.00467217273565666,0.026744844391942,178.333206176758,1.79833662509918,1.80239641666412,6000.28271484375,6000.28271484375,,,2.45576190948486,0,1,,,,,,1,1,1,1.80023324489594,0,0,1.80000725863636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818702160.96425,1.79999524354935,6000.28271484375,,,5,,,,23.14000017941,,,,,4.41352423974834E-6,4.58905172138434E-7,18.1805366565429,0.0832297472393506,4.41354345342639E-6,4.58907169919743E-7,4.19321096395195E-6,2.70853510652594E-7,1.37707938299725E-6,3.70451300943744E-7,0.999995646654836,0.900754988193512,35.52575386141,32,1,3,0.0138312870186028,0.00480947589825397,0.026754692196846,178.034149169922,1.79852271080017,1.80267357826233,6000.28271484375,6000.28271484375,,,2.4555184841156,0,1,,,,,,1,1,1,1.79992234706879,0,0,1.79999612833925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818702317.04457,1.8000995516777,6000.28271484375,,,5,,,,23.14000017941,,,,,4.3121991472985E-6,5.77633365384341E-7,23.0285437426774,0.094878338436479,4.31221499384841E-6,5.77635488082213E-7,3.96857494280024E-6,4.77310357786562E-7,1.68689391383963E-6,3.25326880908481E-7,0.99999632519484,1.10092270374298,29.0665274602881,31,1,3,0.0130557685081057,0.00585222840898408,0.0267920885235071,178.035827636719,1.79830288887024,1.80162799358368,6000.28271484375,6000.28271484375,,,2.45577669143677,0,1,,,,,,1,1,1,1.80002176761627,0,0,1.79998967735856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818702447.05087,1.79994910955429,6000.28271484375,,,5,,,,23.14000017941,,,,,3.82041428880671E-6,4.01248003114037E-7,22.7057352165014,0.0640212812929798,3.82037554753358E-6,4.01243934220638E-7,3.52429436528123E-6,3.88722608114027E-7,1.4746587913953E-6,9.94556619297456E-8,1.0000101406976,1.41023933887482,22.6911837713531,32,1,3,0.0115788670056643,0.00515770925054336,0.0268524512648582,177.317321777344,1.79858601093292,1.8030241727829,6000.28271484375,6000.28271484375,,,2.45594167709351,0,1,,,,,,1,1,1,1.80005407333374,0,0,1.80000792574464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818702558.00177,1.79992073774338,6000.28271484375,,,5,,,,23.14000017941,,,,,3.65722568088929E-6,5.65157996076661E-7,25.5534700913769,0.119500769703362,3.65719006477701E-6,5.65152492251521E-7,3.29945516452943E-6,4.83287518802342E-7,1.57754074025482E-6,2.92968451659871E-7,1.00000973865499,1.82085788249969,17.5741337682379,30,1,3,0.0108012149287631,0.00552904426592159,0.0265430901199579,176.740173339844,1.79890620708466,1.80257201194763,6000.28271484375,6000.28271484375,,,2.45614385604858,0,1,,,,,,1,1,1,1.79972100257874,0,0,1.80000013366659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818702657.62797,1.79993742704391,6000.28271484375,,,5,,,,23.14000017941,,,,,3.09922746942254E-6,4.71182490479423E-7,25.4479721398054,0.113152327768525,3.09923529360201E-6,4.71183680006944E-7,2.79853459566294E-6,4.59676580606473E-7,1.33171450468408E-6,1.0349638422103E-7,0.999997475448384,2.34030508995056,13.6734309289034,30,1,3,0.00913601379984071,0.00471861081010297,0.0266082193702459,176.497863769531,1.79799604415894,1.80230903625488,6000.28271484375,6000.28271484375,,,2.45543074607849,0,1,,,,,,1,1,1,1.79992413520813,0,0,1.79999465754863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818702739.68003,1.80016249418259,6000.28271484375,,,5,,,,23.14000017941,,,,,2.87584843697821E-6,3.29417816222173E-7,23.4083594339242,0.0775229124098037,2.87584506247566E-6,3.2941742968537E-7,2.63915344353838E-6,3.1740159401695E-7,1.14252086406559E-6,8.81593505875285E-8,1.00000117339512,3.00962328910828,12,36,1,3,0.00859914394186664,0.00413402979998709,0.0266379602253437,174.94206237793,1.79792487621307,1.80267035961151,6000.28271484375,6000.28271484375,,,2.4560878276825,0,1,,,,,,1,1,1,1.80044674873352,0,0,1.79999328576601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818702815.39631,1.7999175786972,6000.28271484375,,,5,,,,23.14000017941,,,,,2.70395417445171E-6,2.1470247599794E-7,20.4992539802666,0.056180786902354,2.70394839743333E-6,2.1470201728449E-7,2.53272559449174E-6,1.7182378000777E-7,9.4690971005092E-7,1.28738280436982E-7,1.00000213651207,3.90250372886658,12,46,1,3,0.00823958429307375,0.00354691368247331,0.0264727156609297,173.646942138672,1.798495054245,1.80250418186188,6000.28271484375,6000.28271484375,,,2.45671057701111,0,1,,,,,,1,1,1,1.79991352558136,0,0,1.8000068584004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
