Name;Value;Error;Frequency;ChiPrimeMol;ChiBisMol;FrequencyModel;ChiPrimeModel;ChiBisModel;Name;Value;Error;Frequency;ChiPrimeMol;ChiBisMol;FrequencyModel;ChiPrimeModel;ChiBisModel
T;3.0;0.0;1.00057637691498;2.845926084548783;0.022557617658688;1.00057637691498;2.7981783394773263;0.2547669691915891;T;3.5;0.0;1.00057637691498;2.4418719904061;0.016415121547662368;1.00057637691498;2.470070368283319;0.03918511599395707
H;-0.0;0.0;1.30083453655243;2.852068015689683;0.029936524365783663;8.742349920850819;0.002052637160455382;0.001660121910702007;H;-0.0;0.0;1.30083453655243;2.450801588399733;0.025499347835400667;11.081792318459717;2.0359248316525485e-14;1.2918101834902434e-08
alpha;0.060629;0.013143417759391813;1.70109140872955;2.842170617723767;0.04178763955609199;16.484123464786656;1.9102519676590595e-06;7.365481750983728e-07;alpha;0.0;4.254998910883407;1.70109140872955;2.445841054227833;0.03397576684538467;21.163008260004457;1.683110853475524e-24;1.071501648370651e-18
beta;0.46105;0.026789006394175262;2.22107553482056;2.8418117703913994;0.05247927995730867;24.225897008722495;1.0004038524606265e-06;3.267851138497635e-10;beta;0.999999;38.4295902656147;2.22107553482056;2.4395262062507665;0.04334276570733116;31.244224201549194;1.3960689247834607e-34;8.887650810732974e-29
tau;-2.53295;0.022555597484216563;2.90091037750244;2.8314292658312334;0.0727788686120935;31.967670552658333;1.0000001791776517e-06;1.4498509974522612e-13;tau;-3.598344;13.131849118924961;2.90091037750244;2.44041323291705;0.05839927463482966;41.32544014309393;1.1579798435269195e-44;7.371928643659755e-39
chiT;2.860416;0.051240745988439224;3.79571866989136;2.8342911036340004;0.09805358432259549;39.70944409659417;1.000000000079496e-06;6.43256937272768e-17;chiT;2.470692;24.15544490652797;3.79571866989136;2.44339826992145;0.07996180519151733;51.40665608463867;9.604950688395242e-55;6.114701520629215e-49
chiS;1e-06;0.053233966908249726;4.92219018936157;2.8318221275012165;0.12770159160838015;47.451217640530004;1.0000000000000353e-06;2.8539449093503756e-20;chiS;0.0;27.09232172362546;4.92219018936157;2.4329130644795;0.1001087088900615;61.4878720261834;7.966898408656185e-65;5.071885051212856e-59
;;;6.42475366592407;2.816336281004833;0.16462810444232134;55.192991184465846;1e-06;1.2662127796303876e-23;;;;6.42475366592407;2.4282062441674;0.13301742439992767;71.56908796772814;6.608203655905995e-75;4.2069131070309543e-69
;;;8.4070463180542;2.8255585315853504;0.21979460578195165;62.93476472840168;1e-06;5.617819734524175e-27;;;;8.4070463180542;2.43137762005695;0.17932453711244997;81.65030390927288;5.48122409976766e-85;3.4894556385649224e-79
;;;10.9381999969482;2.802913125915;0.27820271272175;70.67653827233752;1e-06;2.4924640690185795e-30;;;;10.9381999969482;2.4153035610754;0.22329551553467167;91.73151985081762;4.5464424518791154e-95;2.8943551586940195e-89
;;;14.2939481735229;2.7720738249744;0.353001750151015;78.41831181627336;1e-06;1.1058341899386217e-33;;;;14.2939481735229;2.391659150012167;0.2839898539867567;101.81273579236236;3.771080800933852e-105;2.4007446009843574e-99
;;;18.6082801818848;2.7223870847518996;0.4394761175706234;86.1600853602092;1e-06;4.9062663363436906e-37;;;;18.6082801818848;2.3533206696085167;0.35519242410548335;111.89395173390709;3.127951262485269e-115;1.9913156206290038e-109
;;;24.2203006744385;2.644906589038466;0.5337691476200517;93.90185890414503;1e-06;2.176768414483103e-40;;;;24.2203006744385;2.2935417693723834;0.43431412566669003;121.97516767545183;2.59450264180483e-125;1.6517116811737745e-119
;;;31.6244335174561;2.537108129748533;0.6310260929592832;101.64363244808087;1e-06;9.657691624263854e-44;;;;31.6244335174561;2.2050962627113835;0.5165021393060033;132.05638361699656;2.152029681237566e-135;1.3700246457487133e-129
;;;41.2399711608887;2.3998826952396497;0.7200878110732566;109.38540599201671;1e-06;4.284838335984421e-47;;;;41.2399711608887;2.0978978414806835;0.5945358599473767;142.1375995585413;1.7850171644866044e-145;1.1363772208870234e-139
;;;53.7754707336426;2.2389725788773167;0.7941332880370368;117.12717953595255;1e-06;1.901058791253517e-50;;;;53.7754707336426;1.9658574703168334;0.6617687269070632;152.21881550008604;1.4805958789933044e-155;9.425766114193674e-150
;;;70.1553497314453;2.0649755966547834;0.8473350710417333;124.86895307988839;1e-06;8.4344478004022e-54;;;;70.1553497314453;1.8213162708555;0.7135208047301317;162.30003144163078;1.2280913598511968e-165;7.818272419270854e-160
;;;91.609992980957;1.88078648165695;0.8757521930979365;132.61072662382423;1e-06;3.742120444933709e-57;;;;91.609992980957;1.6655837163493932;0.7446772550603867;172.38124738317552;1.0186495920591508e-175;6.4849247139582044e-170
;;;119.384170532227;1.6990868375341333;0.8808833397643748;140.35250016776007;1e-06;1.6602705661091057e-60;;;;119.384170532227;1.5095097954157186;0.7551619197346117;182.46246332472026;8.44926546448564e-186;5.3789694564816345e-180
;;;155.751602172852;1.5199185933179167;0.862986674298375;148.0942737116959;1e-06;7.366140115612987e-64;;;;155.751602172852;1.3533044314643985;0.7446985164213465;192.543679266265;7.008306629273579e-196;4.4616265708507043e-190
;;;203.027557373047;1.3524669042604998;0.8272663028423234;155.83604725563174;1e-06;3.2681432358343196e-67;;;;203.027557373047;1.205543674986515;0.7181256930791933;202.62489520780974;5.813092512758975e-206;3.700729632091883e-200
;;;264.651092529297;1.1968203587498882;0.779406834306925;163.57782079956758;1e-06;1.449980592588931e-70;;;;264.651092529297;1.0677945993405433;0.6789130181191916;212.70611114935446;4.821713196844352e-216;3.069597957686973e-210
;;;345.685852050781;1.0558479878577716;0.7241868507676616;171.3195943435034;1e-06;6.433144348851886e-74;;;;345.685852050781;0.9414377043035383;0.632280160654405;222.7873270908992;3.999406185535845e-226;2.5461010553502173e-220
;;;451.068145751953;0.931053964011905;0.66613269587861;179.06136788743925;1e-06;2.8542000096201666e-77;;;;451.068145751953;0.8310961812749899;0.5832438577994133;232.86854303244394;3.3173374657312127e-236;2.111882622224682e-230
;;;588.290649414062;0.823874544632775;0.599206721472505;186.80314143137508;1e-06;1.2663259602390038e-80;;;;588.290649414062;0.7364593747989967;0.5346063795079949;242.94975897398868;2.751590448938153e-246;1.7517168851891342e-240
;;;767.436157226563;0.699183183610505;0.543044777492045;194.54491497531092;1e-06;5.618321884136448e-84;;;;767.436157226563;0.6278237520574134;0.47988548338065;253.03097491553342;2.2823273413996196e-256;1.4529747124981395e-250
;;;;;;202.28668851924675;1e-06;2.4926868582723123e-87;;;;999.040954589844;0.0032529423732214997;3.7665881104885996;263.11219085707813;1.8930935362529802e-266;1.2051807760767858e-260
;;;;;;210.02846206318262;1e-06;1.105933035084224e-90;;;;;;;273.1934067986229;1.5702406363868323e-276;9.9964623646314e-271
;;;;;;217.77023560711845;1e-06;4.906704883654734e-94;;;;;;;283.2746227401676;1.302447876421945e-286;8.291640705787079e-281
;;;;;;225.5120091510543;1e-06;2.17696298523593e-97;;;;;;;293.3558386817124;1.0803251625809646e-296;6.877563590606535e-291
;;;;;;233.25378269499012;1e-06;9.658554878396633e-101;;;;;;;303.4370546232571;8.960838111326884e-307;5.704646718451532e-301
;;;;;;240.99555623892596;1e-06;4.285221336865616e-104;;;;;;;313.51827056480187;;
;;;;;;248.7373297828618;1e-06;1.901228717662648e-107;;;;;;;323.5994865063466;;
;;;;;;256.47910332679766;1e-06;8.435201714712765e-111;;;;;;;333.6807024478913;;
;;;;;;264.2208768707335;1e-06;3.742454934899444e-114;;;;;;;343.76191838943606;;
;;;;;;271.9626504146693;1e-06;1.660418969628604e-117;;;;;;;353.8431343309808;;
;;;;;;279.70442395860516;1e-06;7.366798539089818e-121;;;;;;;363.92435027252554;;
;;;;;;287.446197502541;1e-06;3.2684353592801193e-124;;;;;;;374.00556621407026;;
;;;;;;295.18797104647683;1e-06;1.4501101993095114e-127;;;;;;;384.086782155615;;
;;;;;;302.92974459041267;1e-06;6.433719376370054e-131;;;;;;;394.16799809715974;;
;;;;;;310.6715181343485;;;;;;;;;404.2492140387045;;
;;;;;;318.41329167828434;;;;;;;;;414.3304299802492;;
;;;;;;326.1550652222202;;;;;;;;;424.41164592179393;;
;;;;;;333.896838766156;;;;;;;;;434.4928618633387;;
;;;;;;341.63861231009184;;;;;;;;;444.5740778048834;;
;;;;;;349.3803858540277;;;;;;;;;454.6552937464282;;
;;;;;;357.1221593979635;;;;;;;;;464.7365096879729;;
;;;;;;364.86393294189935;;;;;;;;;474.81772562951767;;
;;;;;;372.6057064858352;;;;;;;;;484.8989415710624;;
;;;;;;380.347480029771;;;;;;;;;494.9801575126071;;
;;;;;;388.08925357370686;;;;;;;;;505.06137345415186;;
;;;;;;395.8310271176427;;;;;;;;;515.1425893956966;;
;;;;;;403.5728006615785;;;;;;;;;525.2238053372413;;
;;;;;;411.31457420551436;;;;;;;;;535.3050212787861;;
;;;;;;419.05634774945025;;;;;;;;;545.3862372203308;;
;;;;;;426.7981212933861;;;;;;;;;555.4674531618756;;
;;;;;;434.5398948373219;;;;;;;;;565.5486691034203;;
;;;;;;442.28166838125776;;;;;;;;;575.629885044965;;
;;;;;;450.0234419251936;;;;;;;;;585.7111009865098;;
;;;;;;457.76521546912943;;;;;;;;;595.7923169280544;;
;;;;;;465.50698901306527;;;;;;;;;605.8735328695992;;
;;;;;;473.2487625570011;;;;;;;;;615.954748811144;;
;;;;;;480.99053610093694;;;;;;;;;626.0359647526888;;
;;;;;;488.73230964487277;;;;;;;;;636.1171806942334;;
;;;;;;496.4740831888086;;;;;;;;;646.1983966357782;;
;;;;;;504.21585673274444;;;;;;;;;656.279612577323;;
;;;;;;511.9576302766803;;;;;;;;;666.3608285188676;;
;;;;;;519.6994038206161;;;;;;;;;676.4420444604124;;
;;;;;;527.441177364552;;;;;;;;;686.5232604019571;;
;;;;;;535.1829509084878;;;;;;;;;696.6044763435019;;
;;;;;;542.9247244524237;;;;;;;;;706.6856922850466;;
;;;;;;550.6664979963595;;;;;;;;;716.7669082265913;;
;;;;;;558.4082715402953;;;;;;;;;726.8481241681361;;
;;;;;;566.1500450842311;;;;;;;;;736.9293401096808;;
;;;;;;573.891818628167;;;;;;;;;747.0105560512255;;
;;;;;;581.6335921721028;;;;;;;;;757.0917719927703;;
;;;;;;589.3753657160387;;;;;;;;;767.1729879343151;;
;;;;;;597.1171392599745;;;;;;;;;777.2542038758597;;
;;;;;;604.8589128039104;;;;;;;;;787.3354198174045;;
;;;;;;612.6006863478461;;;;;;;;;797.4166357589493;;
;;;;;;620.342459891782;;;;;;;;;807.497851700494;;
;;;;;;628.0842334357178;;;;;;;;;817.5790676420387;;
;;;;;;635.8260069796537;;;;;;;;;827.6602835835835;;
;;;;;;643.5677805235895;;;;;;;;;837.7414995251282;;
;;;;;;651.3095540675254;;;;;;;;;847.8227154666729;;
;;;;;;659.0513276114611;;;;;;;;;857.9039314082177;;
;;;;;;666.793101155397;;;;;;;;;867.9851473497624;;
;;;;;;674.5348746993329;;;;;;;;;878.0663632913072;;
;;;;;;682.2766482432687;;;;;;;;;888.1475792328519;;
;;;;;;690.0184217872046;;;;;;;;;898.2287951743966;;
;;;;;;697.7601953311404;;;;;;;;;908.3100111159414;;
;;;;;;705.5019688750763;;;;;;;;;918.391227057486;;
;;;;;;713.243742419012;;;;;;;;;928.4724429990308;;
;;;;;;720.9855159629479;;;;;;;;;938.5536589405756;;
;;;;;;728.7272895068837;;;;;;;;;948.6348748821204;;
;;;;;;736.4690630508196;;;;;;;;;958.716090823665;;
;;;;;;744.2108365947554;;;;;;;;;968.7973067652098;;
;;;;;;751.9526101386913;;;;;;;;;978.8785227067546;;
;;;;;;759.6943836826271;;;;;;;;;988.9597386482992;;
;;;;;;767.436157226563;;;;;;;;;999.040954589844;;
