Name;Value;Error;Frequency;ChiPrimeMol;ChiBisMol;FrequencyModel;ChiPrimeModel;ChiBisModel;Name;Value;Error;Frequency;ChiPrimeMol;ChiBisMol;FrequencyModel;ChiPrimeModel;ChiBisModel
T;3.0;;1.00057637691498;2.845926084548783;0.022557617658688;1.00057637691498;2.4430551776130525;0.4521592897175532;T;3.0;;1.00057637691498;2.845926084548783;0.022557617658688;1.00057637691498;2.7981783394773263;0.2547669691915891
H;-0.0;;1.30083453655243;2.852068015689683;0.029936524365783663;11.081792318459717;0.9816970000000007;4.292600888434781e-10;H;-0.0;;1.30083453655243;2.852068015689683;0.029936524365783663;8.742349920850819;0.002052637160455382;0.001660121910702007
alpha;0.0;0.0;1.70109140872955;2.842170617723767;0.04178763955609199;21.163008260004457;0.981697;3.5605300117142624e-20;alpha;0.060629;0.0;1.70109140872955;2.842170617723767;0.04178763955609199;16.484123464786656;1.9102519676590595e-06;7.365481750983728e-07
beta;0.999999;0.0;2.22107553482056;2.8418117703913994;0.05247927995730867;31.244224201549194;0.981697;2.953308330731086e-30;beta;0.46105;0.0;2.22107553482056;2.8418117703913994;0.05247927995730867;24.225897008722495;1.0004038524606265e-06;3.267851138497635e-10
tau;-2.308221;0.0;2.90091037750244;2.8314292658312334;0.0727788686120935;41.32544014309393;0.981697;2.449643751820618e-40;tau;-2.53295;0.0;2.90091037750244;2.8314292658312334;0.0727788686120935;31.967670552658333;1.0000001791776517e-06;1.4498509974522612e-13
chiT;1.601261;0.0;3.79571866989136;2.8342911036340004;0.09805358432259549;51.40665608463867;0.981697;2.0318753881509947e-50;chiT;2.860416;0.0;3.79571866989136;2.8342911036340004;0.09805358432259549;39.70944409659417;1.000000000079496e-06;6.43256937272768e-17
chiS;0.981697;0.0;4.92219018936157;2.8318221275012165;0.12770159160838015;61.4878720261834;0.981697;1.6853542846405672e-60;chiS;1e-06;0.0;4.92219018936157;2.8318221275012165;0.12770159160838015;47.451217640530004;1.0000000000000353e-06;2.8539449093503756e-20
;;;6.42475366592407;2.816336281004833;0.16462810444232134;71.56908796772814;0.981697;1.3979297555944204e-70;;;;6.42475366592407;2.816336281004833;0.16462810444232134;55.192991184465846;1e-06;1.2662127796303876e-23
;;;8.4070463180542;2.8255585315853504;0.21979460578195165;81.65030390927288;0.981697;1.1595233236037314e-80;;;;8.4070463180542;2.8255585315853504;0.21979460578195165;62.93476472840168;1e-06;5.617819734524175e-27
;;;10.9381999969482;2.802913125915;0.27820271272175;91.73151985081762;0.981697;9.617753199690518e-91;;;;10.9381999969482;2.802913125915;0.27820271272175;70.67653827233752;1e-06;2.4924640690185795e-30
;;;14.2939481735229;2.7720738249744;0.353001750151015;101.81273579236236;0.981697;7.977517547699364e-101;;;;14.2939481735229;2.7720738249744;0.353001750151015;78.41831181627336;1e-06;1.1058341899386217e-33
;;;18.6082801818848;2.7223870847518996;0.4394761175706234;111.89395173390709;0.981697;6.617011780454375e-111;;;;18.6082801818848;2.7223870847518996;0.4394761175706234;86.1600853602092;1e-06;4.9062663363436906e-37
;;;24.2203006744385;2.644906589038466;0.5337691476200517;121.97516767545183;0.981697;5.488530064756683e-121;;;;24.2203006744385;2.644906589038466;0.5337691476200517;93.90185890414503;1e-06;2.176768414483103e-40
;;;31.6244335174561;2.537108129748533;0.6310260929592832;132.05638361699656;0.981697;4.552502439351519e-131;;;;31.6244335174561;2.537108129748533;0.6310260929592832;101.64363244808087;1e-06;9.657691624263854e-44
;;;41.2399711608887;2.3998826952396497;0.7200878110732566;142.1375995585413;0.981697;3.776107303007278e-141;;;;41.2399711608887;2.3998826952396497;0.7200878110732566;109.38540599201671;1e-06;4.284838335984421e-47
;;;53.7754707336426;2.2389725788773167;0.7941332880370368;152.21881550008604;0.981697;3.1321205323407144e-151;;;;53.7754707336426;2.2389725788773167;0.7941332880370368;117.12717953595255;1e-06;1.901058791253517e-50
;;;70.1553497314453;2.0649755966547834;0.8473350710417333;162.30003144163078;0.981697;2.5979608739660273e-161;;;;70.1553497314453;2.0649755966547834;0.8473350710417333;124.86895307988839;1e-06;8.4344478004022e-54
;;;91.609992980957;1.88078648165695;0.8757521930979365;172.38124738317552;0.981697;2.1548981378487073e-171;;;;91.609992980957;1.88078648165695;0.8757521930979365;132.61072662382423;1e-06;3.742120444933709e-57
;;;119.384170532227;1.6990868375341333;0.8808833397643748;182.46246332472026;0.981697;1.787396427342918e-181;;;;119.384170532227;1.6990868375341333;0.8808833397643748;140.35250016776007;1e-06;1.6602705661091057e-60
;;;155.751602172852;1.5199185933179167;0.862986674298375;192.543679266265;0.981697;1.482569376419651e-191;;;;155.751602172852;1.5199185933179167;0.862986674298375;148.0942737116959;1e-06;7.366140115612987e-64
;;;203.027557373047;1.3524669042604998;0.8272663028423234;202.62489520780974;0.981697;1.2297282920973737e-201;;;;203.027557373047;1.3524669042604998;0.8272663028423234;155.83604725563174;1e-06;3.2681432358343196e-67
;;;264.651092529297;1.1968203587498882;0.779406834306925;212.70611114935446;0.981697;1.0200073577918342e-211;;;;264.651092529297;1.1968203587498882;0.779406834306925;163.57782079956758;1e-06;1.449980592588931e-70
;;;345.685852050781;1.0558479878577716;0.7241868507676616;222.7873270908992;0.981697;8.460527554220382e-222;;;;345.685852050781;1.0558479878577716;0.7241868507676616;171.3195943435034;1e-06;6.433144348851886e-74
;;;451.068145751953;0.931053964011905;0.66613269587861;232.86854303244394;0.981697;7.017648054096347e-232;;;;451.068145751953;0.931053964011905;0.66613269587861;179.06136788743925;1e-06;2.8542000096201666e-77
;;;588.290649414062;0.823874544632775;0.599206721472505;242.94975897398868;0.981697;5.820840827661968e-242;;;;588.290649414062;0.823874544632775;0.599206721472505;186.80314143137508;1e-06;1.2663259602390038e-80
;;;767.436157226563;0.699183183610505;0.543044777492045;253.03097491553342;0.981697;4.828140094770765e-252;;;;767.436157226563;0.699183183610505;0.543044777492045;194.54491497531092;1e-06;5.618321884136448e-84
;;;999.040954589844;0.6841711505334067;-3.66878569775495;263.11219085707813;0.981697;4.00473702423874e-262;;;;;;;202.28668851924675;1e-06;2.4926868582723123e-87
;;;;;;273.1934067986229;0.981697;3.321759169887214e-272;;;;;;;210.02846206318262;1e-06;1.105933035084224e-90
;;;;;;283.2746227401676;0.981697;2.755258064623735e-282;;;;;;;217.77023560711845;1e-06;4.906704883654734e-94
;;;;;;293.3558386817124;0.981697;2.28536947274542e-292;;;;;;;225.5120091510543;1e-06;2.17696298523593e-97
;;;;;;303.4370546232571;0.981697;1.8956168549212511e-302;;;;;;;233.25378269499012;1e-06;9.658554878396633e-101
;;;;;;313.51827056480187;;;;;;;;;240.99555623892596;1e-06;4.285221336865616e-104
;;;;;;323.5994865063466;;;;;;;;;248.7373297828618;1e-06;1.901228717662648e-107
;;;;;;333.6807024478913;;;;;;;;;256.47910332679766;1e-06;8.435201714712765e-111
;;;;;;343.76191838943606;;;;;;;;;264.2208768707335;1e-06;3.742454934899444e-114
;;;;;;353.8431343309808;;;;;;;;;271.9626504146693;1e-06;1.660418969628604e-117
;;;;;;363.92435027252554;;;;;;;;;279.70442395860516;1e-06;7.366798539089818e-121
;;;;;;374.00556621407026;;;;;;;;;287.446197502541;1e-06;3.2684353592801193e-124
;;;;;;384.086782155615;;;;;;;;;295.18797104647683;1e-06;1.4501101993095114e-127
;;;;;;394.16799809715974;;;;;;;;;302.92974459041267;1e-06;6.433719376370054e-131
;;;;;;404.2492140387045;;;;;;;;;310.6715181343485;;
;;;;;;414.3304299802492;;;;;;;;;318.41329167828434;;
;;;;;;424.41164592179393;;;;;;;;;326.1550652222202;;
;;;;;;434.4928618633387;;;;;;;;;333.896838766156;;
;;;;;;444.5740778048834;;;;;;;;;341.63861231009184;;
;;;;;;454.6552937464282;;;;;;;;;349.3803858540277;;
;;;;;;464.7365096879729;;;;;;;;;357.1221593979635;;
;;;;;;474.81772562951767;;;;;;;;;364.86393294189935;;
;;;;;;484.8989415710624;;;;;;;;;372.6057064858352;;
;;;;;;494.9801575126071;;;;;;;;;380.347480029771;;
;;;;;;505.06137345415186;;;;;;;;;388.08925357370686;;
;;;;;;515.1425893956966;;;;;;;;;395.8310271176427;;
;;;;;;525.2238053372413;;;;;;;;;403.5728006615785;;
;;;;;;535.3050212787861;;;;;;;;;411.31457420551436;;
;;;;;;545.3862372203308;;;;;;;;;419.05634774945025;;
;;;;;;555.4674531618756;;;;;;;;;426.7981212933861;;
;;;;;;565.5486691034203;;;;;;;;;434.5398948373219;;
;;;;;;575.629885044965;;;;;;;;;442.28166838125776;;
;;;;;;585.7111009865098;;;;;;;;;450.0234419251936;;
;;;;;;595.7923169280544;;;;;;;;;457.76521546912943;;
;;;;;;605.8735328695992;;;;;;;;;465.50698901306527;;
;;;;;;615.954748811144;;;;;;;;;473.2487625570011;;
;;;;;;626.0359647526888;;;;;;;;;480.99053610093694;;
;;;;;;636.1171806942334;;;;;;;;;488.73230964487277;;
;;;;;;646.1983966357782;;;;;;;;;496.4740831888086;;
;;;;;;656.279612577323;;;;;;;;;504.21585673274444;;
;;;;;;666.3608285188676;;;;;;;;;511.9576302766803;;
;;;;;;676.4420444604124;;;;;;;;;519.6994038206161;;
;;;;;;686.5232604019571;;;;;;;;;527.441177364552;;
;;;;;;696.6044763435019;;;;;;;;;535.1829509084878;;
;;;;;;706.6856922850466;;;;;;;;;542.9247244524237;;
;;;;;;716.7669082265913;;;;;;;;;550.6664979963595;;
;;;;;;726.8481241681361;;;;;;;;;558.4082715402953;;
;;;;;;736.9293401096808;;;;;;;;;566.1500450842311;;
;;;;;;747.0105560512255;;;;;;;;;573.891818628167;;
;;;;;;757.0917719927703;;;;;;;;;581.6335921721028;;
;;;;;;767.1729879343151;;;;;;;;;589.3753657160387;;
;;;;;;777.2542038758597;;;;;;;;;597.1171392599745;;
;;;;;;787.3354198174045;;;;;;;;;604.8589128039104;;
;;;;;;797.4166357589493;;;;;;;;;612.6006863478461;;
;;;;;;807.497851700494;;;;;;;;;620.342459891782;;
;;;;;;817.5790676420387;;;;;;;;;628.0842334357178;;
;;;;;;827.6602835835835;;;;;;;;;635.8260069796537;;
;;;;;;837.7414995251282;;;;;;;;;643.5677805235895;;
;;;;;;847.8227154666729;;;;;;;;;651.3095540675254;;
;;;;;;857.9039314082177;;;;;;;;;659.0513276114611;;
;;;;;;867.9851473497624;;;;;;;;;666.793101155397;;
;;;;;;878.0663632913072;;;;;;;;;674.5348746993329;;
;;;;;;888.1475792328519;;;;;;;;;682.2766482432687;;
;;;;;;898.2287951743966;;;;;;;;;690.0184217872046;;
;;;;;;908.3100111159414;;;;;;;;;697.7601953311404;;
;;;;;;918.391227057486;;;;;;;;;705.5019688750763;;
;;;;;;928.4724429990308;;;;;;;;;713.243742419012;;
;;;;;;938.5536589405756;;;;;;;;;720.9855159629479;;
;;;;;;948.6348748821204;;;;;;;;;728.7272895068837;;
;;;;;;958.716090823665;;;;;;;;;736.4690630508196;;
;;;;;;968.7973067652098;;;;;;;;;744.2108365947554;;
;;;;;;978.8785227067546;;;;;;;;;751.9526101386913;;
;;;;;;988.9597386482992;;;;;;;;;759.6943836826271;;
;;;;;;999.040954589844;;;;;;;;;767.436157226563;;
